기간	컬럼1	컬럼2	출생	출생	출생	사망	사망	사망
기간	컬럼1	컬럼2	계	남자	여자	계	남자	여자
2008	양천구	신월1동	214	118	96	96	56	40
2008	양천구	신월2동	232	115	117	87	58	29
2008	양천구	신월3동	154	87	67	64	41	23
2008	양천구	신월4동	201	101	100	61	34	27
2008	양천구	신월5동	104	49	55	60	32	28
2008	양천구	신월6동	132	66	66	69	37	32
2008	양천구	신월7동	300	149	151	99	60	39
2008	양천구	신정1동	139	69	70	101	63	38
2008	양천구	신정2동	114	64	50	69	39	30
2008	양천구	신정3동	564	298	266	164	98	66
2008	양천구	신정6동	185	92	93	61	39	22
2008	양천구	신정7동	243	128	115	121	70	51
2008	양천구	목5동	156	76	80	134	61	73
2008	양천구	신정4동	403	214	189	145	82	63
2008	양천구	미상	16	8	8	-	-	-
2008	강서구	소계	5,979	3,006	2,973	2,146	1,137	1,009
2008	강서구	염창동	498	241	257	86	45	41
2008	강서구	등촌1동	257	137	120	76	39	37
2008	강서구	등촌2동	163	79	84	71	38	33
2008	강서구	등촌3동	296	152	144	212	118	94
2008	강서구	화곡본동	469	227	242	124	68	56
2008	강서구	화곡2동	231	121	110	60	28	32
2008	강서구	화곡3동	190	102	88	126	53	73
2008	강서구	화곡4동	207	106	101	70	38	32
2008	강서구	화곡6동	250	114	136	71	36	35
2008	강서구	화곡8동	343	172	171	87	52	35
2008	강서구	가양1동	271	148	123	86	48	38
2008	강서구	가양2동	113	57	56	113	57	56
2008	강서구	가양3동	262	118	144	100	46	54
2008	강서구	발산1동	350	195	155	101	52	49
2008	강서구	공항동	277	129	148	79	48	31
2008	강서구	방화1동	345	172	173	127	70	57
2008	강서구	방화2동	243	131	112	135	72	63
2008	강서구	방화3동	291	164	127	139	78	61
2008	강서구	화곡1동	492	244	248	169	91	78
2008	강서구	우장산동	406	181	225	114	60	54
2008	강서구	미상	25	16	9	-	-	-
2008	구로구	소계	4,883	2,503	2,380	1,433	830	603
2008	구로구	신도림동	515	259	256	106	58	48
2008	구로구	구로1동	354	171	183	63	39	24
2008	구로구	구로3동	451	225	226	68	38	30
2008	구로구	구로4동	389	193	196	108	65	43
2008	구로구	구로5동	405	222	183	91	57	34
2008	구로구	고척1동	226	130	96	102	58	44
2008	구로구	고척2동	240	127	113	92	56	36
2008	구로구	개봉2동	399	190	209	122	63	59
2008	구로구	개봉3동	221	120	101	72	40	32
2008	구로구	오류1동	238	119	119	96	50	46
2008	구로구	오류2동	340	177	163	88	52	36
2008	구로구	수궁동	256	152	104	80	42	38
2008	구로구	가리봉동	99	47	52	80	54	26
2008	구로구	구로2동	330	162	168	116	67	49
2008	구로구	개봉1동	401	197	204	149	91	58
2008	구로구	미상	19	12	7	-	-	-
2008	금천구	소계	2,102	1,076	1,026	970	556	414
2008	금천구	가산동	151	76	75	75	49	26
2008	금천구	독산1동	326	174	152	144	83	61
2008	금천구	독산2동	196	106	90	90	56	34
2008	금천구	독산3동	203	94	109	124	70	54
2008	금천구	독산4동	157	79	78	67	35	32
2008	금천구	시흥1동	288	141	147	130	75	55
2008	금천구	시흥2동	228	121	107	84	46	38
2008	금천구	시흥3동	104	57	47	55	28	27
2008	금천구	시흥4동	249	123	126	89	52	37
2008	금천구	시흥5동	192	100	92	112	62	50
2008	금천구	미상	8	5	3	-	-	-
2008	영등포구	소계	4,453	2,266	2,187	1,536	861	675
2008	영등포구	여의도동	259	130	129	87	42	45
2008	영등포구	당산1동	213	110	103	81	43	38
2008	영등포구	당산2동	429	234	195	103	53	50
2008	영등포구	양평1동	313	155	158	50	28	22
2008	영등포구	양평2동	282	144	138	63	40	23
2008	영등포구	신길1동	198	87	111	113	61	52
2008	영등포구	신길3동	206	98	108	80	42	38
2008	영등포구	신길4동	99	41	58	75	42	33
2008	영등포구	신길5동	139	72	67	76	43	33
2008	영등포구	신길6동	252	124	128	87	61	26
2008	영등포구	신길7동	180	93	87	62	30	32
2008	영등포구	대림1동	141	80	61	93	45	48
2008	영등포구	대림2동	201	99	102	66	44	22
2008	영등포구	대림3동	342	185	157	79	51	28
2008	영등포구	영등포본동	260	140	120	100	59	41
2008	영등포구	영등포동	131	62	69	102	69	33
2008	영등포구	도림동	291	140	151	95	43	52
2008	영등포구	문래동	497	261	236	124	65	59
2008	영등포구	미상	20	11	9	-	-	-
2008	동작구	소계	4,044	2,134	1,910	1,540	841	699
2008	동작구	노량진2동	148	74	74	66	36	30
2008	동작구	상도1동	417	207	210	152	83	69
2008	동작구	상도2동	287	156	131	105	64	41
2008	동작구	상도3동	203	90	113	125	64	61
