기간	자치구	동	출생	출생	출생	사망	사망	사망
기간	자치구	동	계	남자	여자	계	남자	여자
2012	동작구	사당3동	266	135	131	87	55	32
2012	동작구	사당4동	164	91	73	64	40	24
2012	동작구	사당5동	157	93	64	46	24	22
2012	동작구	대방동	313	168	145	177	106	71
2012	동작구	신대방1동	246	122	124	82	46	36
2012	동작구	신대방2동	203	102	101	66	43	23
2012	동작구	흑석동	285	154	131	144	80	64
2012	동작구	노량진1동	368	194	174	140	82	58
2012	동작구	사당2동	348	184	164	119	67	52
2012	관악구	소계	4,596	2,403	2,193	1,980	1,159	821
2012	관악구	보라매동	251	120	131	153	86	67
2012	관악구	청림동	249	133	116	56	37	19
2012	관악구	행운동	247	123	124	94	52	42
2012	관악구	낙성대동	177	88	89	45	26	19
2012	관악구	중앙동	128	68	60	55	34	21
2012	관악구	인헌동	307	153	154	101	66	35
2012	관악구	남현동	202	111	91	62	32	30
2012	관악구	서원동	225	117	108	71	37	34
2012	관악구	신원동	160	83	77	78	51	27
2012	관악구	서림동	151	93	58	76	45	31
2012	관악구	신사동	191	99	92	87	50	37
2012	관악구	신림동	182	96	86	118	73	45
2012	관악구	난향동	202	116	86	62	34	28
2012	관악구	조원동	146	76	70	62	38	24
2012	관악구	대학동	131	63	68	64	35	29
2012	관악구	은천동	404	211	193	125	76	49
2012	관악구	성현동	323	172	151	130	75	55
2012	관악구	청룡동	272	151	121	120	66	54
2012	관악구	난곡동	243	128	115	126	70	56
2012	관악구	삼성동	152	75	77	148	93	55
2012	관악구	미성동	250	125	125	147	83	64
2012	관악구	미상	3	2	1	-	-	-
2012	서초구	소계	4,439	2,308	2,131	1,378	695	683
2012	서초구	서초1동	297	136	161	80	47	33
2012	서초구	서초2동	269	135	134	71	35	36
2012	서초구	서초3동	251	120	131	98	48	50
2012	서초구	서초4동	259	129	130	68	28	40
2012	서초구	잠원동	409	209	200	114	58	56
2012	서초구	반포본동	100	68	32	40	19	21
2012	서초구	반포1동	404	212	192	88	49	39
2012	서초구	반포2동	208	106	102	69	30	39
2012	서초구	반포3동	247	123	124	71	39	32
2012	서초구	반포4동	215	108	107	67	32	35
2012	서초구	방배본동	187	99	88	91	47	44
2012	서초구	방배1동	220	126	94	63	34	29
2012	서초구	방배2동	227	128	99	79	33	46
2012	서초구	방배3동	191	100	91	75	34	41
2012	서초구	방배4동	226	114	112	67	33	34
2012	서초구	양재1동	413	229	184	129	69	60
2012	서초구	양재2동	267	145	122	71	36	35
2012	서초구	내곡동	49	21	28	37	24	13
2012	강남구	소계	4,903	2,522	2,381	1,696	838	858
2012	강남구	신사동	166	81	85	65	32	33
2012	강남구	논현1동	276	136	140	85	50	35
2012	강남구	논현2동	213	113	100	47	29	18
2012	강남구	삼성1동	268	132	136	67	34	33
2012	강남구	삼성2동	277	129	148	53	30	23
2012	강남구	대치1동	92	51	41	67	26	41
2012	강남구	대치4동	127	62	65	53	32	21
2012	강남구	역삼1동	361	178	183	117	56	61
2012	강남구	역삼2동	299	159	140	84	39	45
2012	강남구	도곡1동	259	125	134	72	27	45
2012	강남구	도곡2동	243	141	102	68	28	40
2012	강남구	개포1동	233	127	106	83	45	38
2012	강남구	개포4동	170	75	95	57	31	26
2012	강남구	일원본동	226	111	115	69	29	40
2012	강남구	일원1동	152	80	72	102	60	42
2012	강남구	일원2동	155	96	59	68	30	38
2012	강남구	수서동	170	79	91	119	54	65
2012	강남구	세곡동	135	78	57	57	27	30
2012	강남구	압구정동	296	150	146	95	57	38
2012	강남구	청담동	263	143	120	90	34	56
2012	강남구	대치2동	135	83	52	103	47	56
2012	강남구	개포2동	385	192	193	75	41	34
2012	강남구	미상	2	1	1	-	-	-
2012	송파구	소계	6,859	3,532	3,327	2,149	1,143	1,006
2012	송파구	풍납1동	212	109	103	95	59	36
2012	송파구	풍납2동	327	169	158	88	48	40
2012	송파구	거여1동	124	66	58	65	37	28
2012	송파구	거여2동	348	176	172	77	42	35
2012	송파구	마천1동	241	122	119	106	57	49
2012	송파구	마천2동	170	83	87	91	51	40
2012	송파구	방이1동	119	64	55	57	32	25
2012	송파구	방이2동	268	147	121	55	29	26
2012	송파구	오륜동	57	29	28	52	23	29
2012	송파구	오금동	274	133	141	144	73	71
2012	송파구	송파1동	335	172	163	85	46	39
2012	송파구	송파2동	163	80	83	62	32	30
2012	송파구	석촌동	427	221	206	97	51	46
2012	송파구	삼전동	452	246	206	123	58	65
2012	송파구	가락본동	337	158	179	116	66	50
2012	송파구	가락1동	125	71	54	52	26	26
2012	송파구	가락2동	269	125	144	79	40	39
2012	송파구	문정1동	223	108	115	67	37	30
2012	송파구	문정2동	91	51	40	55	26	29
2012	송파구	장지동	486	257	229	121	60	61
2012	송파구	잠실본동	341	171	170	113	65	48
2012	송파구	잠실4동	506	270	236	106	58	48
2012	송파구	잠실6동	140	72	68	51	30	21
2012	송파구	잠실7동	50	26	24	45	23	22
2012	송파구	잠실2동	411	217	194	62	26	36
2012	송파구	잠실3동	363	189	174	85	48	37
2012	강동구	소계	4,590	2,343	2,247	1,886	1,049	837
2012	강동구	강일동	364	183	181	127	61	66
2012	강동구	상일동	246	122	124	109	55	54
2012	강동구	명일1동	240	135	105	103	51	52
2012	강동구	명일2동	59	20	39	68	29	39
2012	강동구	고덕1동	190	94	96	61	34	27
2012	강동구	고덕2동	152	75	77	76	39	37
2012	강동구	암사2동	232	126	106	72	44	28
2012	강동구	암사3동	155	76	79	64	32	32
2012	강동구	천호1동	306	160	146	143	89	54
2012	강동구	천호3동	263	140	123	103	65	38
2012	강동구	성내1동	230	112	118	61	40	21
2012	강동구	성내2동	275	140	135	103	58	45
2012	강동구	성내3동	237	119	118	100	60	40
2012	강동구	둔촌1동	138	69	69	62	28	34
2012	강동구	둔촌2동	266	145	121	107	61	46
2012	강동구	암사1동	377	206	171	149	82	67
2012	강동구	천호2동	327	155	172	165	95	70
2012	강동구	길동	533	266	267	213	126	87
