기간	자치구	행정동	출생	출생	출생	사망	사망	사망
기간	자치구	행정동	계	남자	여자	계	남자	여자
2016	송파구	석촌동	366	202	164	109	59	50
2016	송파구	삼전동	336	169	167	116	65	51
2016	송파구	가락본동	298	170	128	92	48	44
2016	송파구	가락1동	3	1	2	3	2	1
2016	송파구	가락2동	260	147	113	90	42	48
2016	송파구	문정1동	213	103	110	94	48	46
2016	송파구	문정2동	134	71	63	72	37	35
2016	송파구	장지동	353	177	176	107	53	54
2016	송파구	위례동	147	79	68	24	15	9
2016	송파구	잠실본동	284	146	138	103	66	37
2016	송파구	잠실4동	375	199	176	83	37	46
2016	송파구	잠실6동	136	74	62	45	25	20
2016	송파구	잠실7동	61	36	25	29	17	12
2016	송파구	잠실2동	285	149	136	57	32	25
2016	송파구	잠실3동	263	156	107	93	44	49
2016	강동구	소계	3,293	1,689	1,604	1,791	997	794
2016	강동구	강일동	141	83	58	138	69	69
2016	강동구	상일동	84	47	37	94	47	47
2016	강동구	명일1동	151	84	67	91	48	43
2016	강동구	명일2동	45	19	26	40	17	23
2016	강동구	고덕1동	160	77	83	62	31	31
2016	강동구	고덕2동	29	15	14	37	17	20
2016	강동구	암사2동	187	106	81	61	33	28
2016	강동구	암사3동	141	75	66	50	21	29
2016	강동구	천호1동	202	102	100	159	90	69
2016	강동구	천호3동	210	105	105	106	59	47
2016	강동구	성내1동	210	99	111	84	51	33
2016	강동구	성내2동	221	101	120	97	60	37
2016	강동구	성내3동	195	99	96	69	32	37
2016	강동구	둔촌1동	114	53	61	80	41	39
2016	강동구	둔촌2동	224	129	95	121	68	53
2016	강동구	암사1동	280	136	144	151	95	56
2016	강동구	천호2동	268	126	142	145	91	54
2016	강동구	길동	431	233	198	206	127	79
