기간	자치구	행정동	합계	남자	여자
2016	강서구	화곡2동	39.9	39	40.8
2016	강서구	화곡3동	42.3	41.2	43.3
2016	강서구	화곡4동	41.7	40.2	43.2
2016	강서구	화곡6동	40.4	39.4	41.6
2016	강서구	화곡8동	40.7	39.6	41.9
2016	강서구	가양1동	36.8	36.9	36.6
2016	강서구	가양2동	48.5	45.4	50.9
2016	강서구	가양3동	43.1	40.2	46.3
2016	강서구	발산1동	38.6	38.1	39.1
2016	강서구	공항동	40.1	40	40.3
2016	강서구	방화1동	39.4	39.1	39.6
2016	강서구	방화2동	43.5	42	45.2
2016	강서구	방화3동	43.2	41.8	44.7
2016	강서구	화곡1동	39.6	38.9	40.6
2016	강서구	우장산동	39.7	39.6	39.8
2016	구로구	소계	41.7	41.1	42.3
2016	구로구	신도림동	38.5	38.5	38.5
2016	구로구	구로1동	37.9	37.2	38.5
2016	구로구	구로3동	37.3	37.4	37.1
2016	구로구	구로4동	44.6	43.7	45.6
2016	구로구	구로5동	40	40.1	39.8
2016	구로구	고척1동	42.5	41.3	43.7
2016	구로구	고척2동	42.4	41.9	43
2016	구로구	개봉2동	41.7	40.7	42.8
2016	구로구	개봉3동	42.2	40.9	43.5
2016	구로구	오류1동	40.8	40.5	41.3
2016	구로구	오류2동	39.9	39.3	40.6
2016	구로구	수궁동	41.4	40.4	42.4
2016	구로구	가리봉동	49.5	48.9	50.3
2016	구로구	구로2동	46.4	45.5	47.4
2016	구로구	개봉1동	43.3	42.6	44.1
2016	금천구	소계	43.5	42.5	44.6
2016	금천구	가산동	40.3	40.6	40
2016	금천구	독산1동	40.1	39.3	41.3
2016	금천구	독산2동	45	44	45.8
2016	금천구	독산3동	46	45.3	46.7
2016	금천구	독산4동	45.2	44.7	45.6
2016	금천구	시흥1동	43	41.9	44.1
2016	금천구	시흥2동	42.8	41.9	43.6
2016	금천구	시흥3동	45.1	43.8	46.3
2016	금천구	시흥4동	44.5	43.5	45.5
2016	금천구	시흥5동	45.4	43.9	46.8
2016	영등포구	소계	42	41.5	42.5
2016	영등포구	여의동	42.1	41.7	42.4
2016	영등포구	당산1동	40.5	40.3	40.9
2016	영등포구	당산2동	36.7	37	36.3
