기간	자치구	동	합계	합계	합계	개인사업체	개인사업체	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체
기간	자치구	동	사업체수	총종사자수	여성종사자수	소계	여성종사자수	소계	여성종사자수	소계	여성종사자수	소계	여성종사자수
2012	양천구	목4동	1,365	3,931	2,050	2,787	1,584	666	229	344	179	134	58
2012	양천구	신월1동	1,815	5,352	2,314	3,445	1,753	1,594	401	119	52	194	108
2012	양천구	신월2동	1,104	3,669	1,535	2,028	929	1,073	229	353	269	215	108
2012	양천구	신월3동	986	3,917	1,554	1,907	884	1,224	247	700	384	86	39
2012	양천구	신월4동	1,130	3,645	1,363	1,947	922	1,205	150	181	134	312	157
2012	양천구	신월5동	1,005	3,585	1,660	2,228	1,071	742	199	514	349	101	41
2012	양천구	신월6동	1,591	3,322	1,085	2,154	681	799	194	203	135	166	75
2012	양천구	신월7동	1,400	5,793	1,951	2,527	1,257	1,869	243	1,104	307	293	144
2012	양천구	신정1동	1,131	4,600	2,265	2,313	1,190	792	374	1,208	606	287	95
2012	양천구	신정2동	1,121	3,727	2,002	2,455	1,309	717	324	422	326	133	43
2012	양천구	신정3동	1,954	7,788	3,053	3,349	1,637	2,963	610	906	523	570	283
2012	양천구	신정6동	693	5,128	2,449	1,414	841	1,031	498	2,290	995	393	115
2012	양천구	신정7동	1,010	4,457	1,870	1,799	938	950	393	1,430	431	278	108
2012	양천구	목5동	1,452	8,977	5,057	2,966	1,822	2,075	778	3,566	2,296	370	161
2012	양천구	신정4동	3,035	12,728	6,715	7,614	4,372	4,120	1,774	743	442	251	127
2012	강서구	소계	31,596	168,783	73,862	58,855	30,519	88,366	32,763	17,487	8,756	4,075	1,824
2012	강서구	염창동	2,156	15,540	5,611	3,728	1,997	10,369	2,787	1,122	717	321	110
2012	강서구	등촌1동	1,679	9,851	4,089	3,297	1,706	5,863	2,146	483	156	208	81
2012	강서구	등촌2동	734	3,051	1,289	1,205	577	856	229	914	458	76	25
2012	강서구	등촌3동	2,225	17,135	8,407	4,636	2,519	9,874	4,490	2,292	1,252	333	146
2012	강서구	화곡본동	1,377	3,881	2,164	2,872	1,617	566	264	326	220	117	63
2012	강서구	화곡2동	863	2,388	1,222	1,556	759	447	165	244	212	141	86
2012	강서구	화곡3동	1,196	4,492	2,732	2,451	1,381	1,700	1,145	221	158	120	48
2012	강서구	화곡4동	1,471	3,891	1,876	2,782	1,399	606	212	424	227	79	38
2012	강서구	화곡6동	1,773	10,913	4,843	4,045	2,259	4,501	1,666	2,234	866	133	52
2012	강서구	화곡8동	1,216	3,127	1,506	2,204	1,208	779	238	63	24	81	36
2012	강서구	가양1동	1,037	6,086	1,995	2,065	921	3,335	799	496	195	190	80
2012	강서구	가양2동	629	2,961	1,574	1,136	670	892	408	715	407	218	89
2012	강서구	가양3동	777	6,091	2,120	1,143	561	3,947	1,141	776	291	225	127
2012	강서구	발산1동	2,114	10,463	4,412	3,882	1,987	4,241	1,064	2,092	1,252	248	109
2012	강서구	공항동	1,835	31,699	13,893	3,207	1,570	26,579	11,658	1,799	631	114	34
2012	강서구	방화1동	1,927	6,850	3,189	3,370	1,736	2,693	1,006	382	227	405	220
2012	강서구	방화2동	3,106	12,130	4,276	4,430	1,790	6,503	2,023	866	262	331	201
2012	강서구	방화3동	844	3,904	1,511	1,211	570	1,461	303	927	533	305	105
2012	강서구	화곡1동	3,016	8,280	4,029	5,944	3,132	1,623	511	508	320	205	66
2012	강서구	우장산동	1,621	6,050	3,124	3,691	2,160	1,531	508	603	348	225	108
2012	구로구	소계	35,523	190,692	75,895	61,297	28,247	107,527	37,671	17,241	7,836	4,627	2,141
2012	구로구	신도림동	2,490	13,980	5,891	5,397	2,331	7,713	3,087	564	360	306	113
2012	구로구	구로1동	715	2,744	1,131	1,292	624	835	257	517	218	100	32
2012	구로구	구로3동	5,592	74,353	26,158	8,693	4,407	62,584	20,599	2,165	819	911	333
2012	구로구	구로4동	1,951	4,957	2,624	3,367	1,969	849	318	447	213	294	124
2012	구로구	구로5동	4,555	26,098	11,982	6,916	3,219	16,216	7,677	2,599	922	367	164
2012	구로구	고척1동	2,476	8,230	3,224	4,629	2,013	2,038	558	1,373	592	190	61
2012	구로구	고척2동	1,456	3,888	1,813	2,548	1,220	625	205	522	296	193	92
2012	구로구	개봉2동	1,168	2,601	1,265	1,953	1,042	385	120	96	32	167	71
2012	구로구	개봉3동	1,046	2,610	1,239	1,664	811	461	107	363	281	122	40
2012	구로구	오류1동	1,122	4,540	2,320	2,385	1,311	1,684	774	273	134	198	101
2012	구로구	오류2동	1,371	6,233	2,315	2,392	1,139	1,254	240	2,094	678	493	258
2012	구로구	수궁동	1,129	5,826	2,028	2,221	975	2,265	370	1,157	603	183	80
2012	구로구	가리봉동	1,016	2,669	1,479	1,857	1,043	347	92	153	90	312	254
