기간	자치구	동	시설합계	노인복지관	노인복지관	경로당	노인교실
기간	자치구	동	시설합계	시설수	종사자수	경로당	노인교실
2012	금천구	시흥1동	10	1	23	8	1
2012	금천구	시흥2동	10	-	-	9	1
2012	금천구	시흥3동	4	-	-	4	-
2012	금천구	시흥4동	7	-	-	5	2
2012	금천구	시흥5동	7	-	-	6	1
2012	영등포구	소계	208	1	23	174	33
2012	영등포구	여의동	8	-	-	7	1
2012	영등포구	당산1동	14	-	-	13	1
2012	영등포구	당산2동	20	-	-	18	2
2012	영등포구	양평1동	16	-	-	15	1
2012	영등포구	양평2동	16	-	-	14	2
2012	영등포구	신길1동	8	-	-	6	2
2012	영등포구	신길3동	8	-	-	4	4
2012	영등포구	신길4동	5	-	-	3	2
2012	영등포구	신길5동	6	-	-	5	1
2012	영등포구	신길6동	12	-	-	9	3
2012	영등포구	신길7동	5	-	-	4	1
2012	영등포구	대림1동	5	-	-	4	1
2012	영등포구	대림2동	8	-	-	6	2
2012	영등포구	대림3동	11	-	-	11	-
2012	영등포구	영등포본동	9	-	-	8	1
2012	영등포구	영등포동	21	-	-	15	6
2012	영등포구	도림동	8	-	-	6	2
2012	영등포구	문래동	28	1	23	26	1
2012	동작구	소계	143	1	23	127	15
2012	동작구	노량진2동	2	-	-	2	-
2012	동작구	상도1동	18	-	-	14	4
2012	동작구	상도2동	12	-	-	11	1
2012	동작구	상도3동	5	-	-	5	-
2012	동작구	상도4동	5	-	-	5	-
2012	동작구	사당1동	4	1	23	3	-
2012	동작구	사당3동	10	-	-	10	-
2012	동작구	사당4동	6	-	-	6	-
2012	동작구	사당5동	6	-	-	5	1
2012	동작구	대방동	16	-	-	15	1
2012	동작구	신대방1동	11	-	-	10	1
2012	동작구	신대방2동	5	-	-	4	1
2012	동작구	흑석동	13	-	-	10	3
2012	동작구	노량진1동	19	-	-	17	2
2012	동작구	사당2동	11	-	-	10	1
2012	관악구	소계	127	1	23	108	18
2012	관악구	보라매동	3	1	23	2	-
2012	관악구	청림동	6	-	-	5	1
2012	관악구	행운동	6	-	-	6	-
2012	관악구	낙성대동	6	-	-	3	3
2012	관악구	중앙동	4	-	-	3	1
2012	관악구	인헌동	5	-	-	5	-
2012	관악구	남현동	3	-	-	3	-
2012	관악구	서원동	5	-	-	4	1
2012	관악구	신원동	6	-	-	3	3
2012	관악구	서림동	3	-	-	3	-
2012	관악구	신사동	3	-	-	2	1
2012	관악구	신림동	4	-	-	3	1
2012	관악구	난향동	9	-	-	9	-
2012	관악구	조원동	4	-	-	4	-
2012	관악구	대학동	4	-	-	4	-
2012	관악구	은천동	10	-	-	10	-
2012	관악구	성현동	10	-	-	9	1
2012	관악구	청룡동	8	-	-	6	2
2012	관악구	난곡동	8	-	-	6	2
2012	관악구	삼성동	11	-	-	9	2
2012	관악구	미성동	9	-	-	9	-
2012	서초구	소계	129	2	46	115	12
2012	서초구	서초1동	…	…	…	6	1
2012	서초구	서초2동	…	…	…	6	-
2012	서초구	서초3동	…	…	…	5	3
2012	서초구	서초4동	…	…	…	9	-
2012	서초구	잠원동	…	…	…	16	1
2012	서초구	반포본동	…	…	…	2	-
2012	서초구	반포1동	…	…	…	7	1
2012	서초구	반포2동	…	…	…	2	1
2012	서초구	반포3동	…	…	…	5	-
2012	서초구	반포4동	…	…	…	6	1
2012	서초구	방배본동	…	…	…	2	-
2012	서초구	방배1동	…	…	…	1	1
2012	서초구	방배2동	…	…	…	5	-
2012	서초구	방배3동	…	…	…	11	1
2012	서초구	방배4동	…	…	…	4	1
2012	서초구	양재1동	…	…	…	15	-
2012	서초구	양재2동	…	…	…	4	1
2012	서초구	내곡동	…	…	…	9	-
2012	강남구	소계	184	2	46	158	24
2012	강남구	신사동	5	-	-	4	1
2012	강남구	논현1동	6	1	13	4	1
2012	강남구	논현2동	7	-	-	5	2
2012	강남구	삼성1동	6	1	33	5	-
2012	강남구	삼성2동	13	-	-	12	1
2012	강남구	대치1동	9	-	-	7	2
2012	강남구	대치4동	4	-	-	4	-
2012	강남구	역삼1동	7	-	-	7	-
2012	강남구	역삼2동	13	-	-	11	2
2012	강남구	도곡1동	9	-	-	8	1
2012	강남구	도곡2동	7	-	-	7	-
2012	강남구	개포1동	7	-	-	7	-
2012	강남구	개포4동	6	-	-	5	1
2012	강남구	일원본동	10	-	-	10	-
2012	강남구	일원1동	4	-	-	4	-
2012	강남구	일원2동	9	-	-	6	3
2012	강남구	수서동	9	-	-	7	2
2012	강남구	세곡동	12	-	-	11	1
2012	강남구	압구정동	6	-	-	6	-
2012	강남구	청담동	13	-	-	11	2
2012	강남구	대치2동	11	-	-	7	4
2012	강남구	개포2동	11	-	-	10	1
2012	송파구	소계	173	1	23	160	12
2012	송파구	풍납1동	6	-	-	6	-
2012	송파구	풍납2동	12	-	-	11	1
2012	송파구	거여1동	7	-	-	7	-
2012	송파구	거여2동	14	-	-	13	1
2012	송파구	마천1동	10	-	-	9	1
2012	송파구	마천2동	7	-	-	7	-
2012	송파구	방이1동	5	-	-	5	-
