기간	자치구	동	합계	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	집단급식소	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업
기간	자치구	동	합계	소계	휴게음식점	일반음식점	제과점	단란주점	유흥주점	위탁급식영업	집단급식소	소계	식품제조가공업	즉석판매제조가공업	식품첨가물 제조업	소계	식품운반업	식품판매업	식품보존업	용기·포장류제조업	소계	건강기능식품수입업	건강기능식품판매업	건강기능식품제조업
2012	도봉구	쌍문4동	103	58	9	45	2	-	-	2	13	10	-	10	-	11	-	11	-	-	11	-	11	-
2012	도봉구	방학1동	842	583	57	487	15	18	-	6	23	108	6	102	-	61	-	61	-	-	67	3	64	-
2012	도봉구	방학2동	283	177	14	153	7	2	-	1	13	41	4	37	-	27	-	27	-	-	25	-	25	-
2012	도봉구	방학3동	172	94	14	76	4	-	-	-	13	16	2	14	-	21	-	21	-	-	28	1	27	-
2012	도봉구	창1동	291	172	23	141	2	6	-	-	10	37	3	34	-	27	-	27	-	-	45	1	44	-
2012	도봉구	창2동	350	178	28	142	5	2	-	1	13	59	11	48	-	61	-	61	-	-	39	1	38	-
2012	도봉구	창3동	264	184	16	159	5	4	-	-	8	40	7	33	-	16	-	16	-	-	16	1	15	-
2012	도봉구	창4동	430	224	41	147	10	3	20	3	14	92	1	91	-	49	-	49	-	-	51	1	50	-
2012	도봉구	창5동	360	232	35	181	8	4	1	3	14	34	3	31	-	38	-	38	-	-	42	2	40	-
2012	도봉구	도봉1동	473	345	15	314	6	7	-	3	16	45	3	42	-	36	2	34	-	-	31	1	30	-
2012	도봉구	도봉2동	357	236	18	203	9	2	-	4	13	39	5	34	-	35	1	34	-	-	34	1	33	-
2012	노원구	소계	6,839	4,514	681	3,555	152	58	30	38	247	666	47	619	-	672	6	666	-	-	740	23	717	-
2012	노원구	월계1동	424	326	47	271	6	-	-	2	10	20	2	18	-	36	-	36	-	-	32	1	31	-
2012	노원구	월계2동	171	99	15	76	4	-	-	4	15	17	1	16	-	17	-	17	-	-	23	-	23	-
2012	노원구	월계3동	262	165	35	122	7	-	-	1	14	36	2	34	-	19	-	19	-	-	28	-	28	-
2012	노원구	공릉2동	581	406	71	307	15	3	-	10	24	44	5	39	-	47	-	47	-	-	60	3	57	-
2012	노원구	하계1동	360	209	47	155	3	-	-	4	19	49	2	47	-	34	-	34	-	-	49	-	49	-
2012	노원구	하계2동	75	35	5	28	2	-	-	-	6	12	1	11	-	10	-	10	-	-	12	-	12	-
2012	노원구	중계본동	317	214	40	166	7	-	-	1	11	28	3	25	-	30	-	30	-	-	34	-	34	-
2012	노원구	중계1동	256	132	38	83	8	-	-	3	10	48	2	46	-	31	-	31	-	-	35	2	33	-
2012	노원구	중계4동	351	262	35	218	8	-	-	1	11	21	1	20	-	28	1	27	-	-	29	-	29	-
2012	노원구	상계1동	571	361	40	299	16	4	-	2	17	43	7	36	-	71	4	67	-	-	79	9	70	-
2012	노원구	상계2동	911	683	95	550	19	17	-	2	9	85	4	81	-	58	-	58	-	-	76	1	75	-
2012	노원구	상계5동	345	245	20	206	7	12	-	-	6	22	4	18	-	33	-	33	-	-	39	1	38	-
2012	노원구	상계8동	126	59	15	38	6	-	-	-	7	18	2	16	-	18	-	18	-	-	24	-	24	-
2012	노원구	상계9동	144	72	16	53	3	-	-	-	6	38	-	38	-	8	-	8	-	-	20	-	20	-
2012	노원구	상계10동	80	38	7	28	1	1	-	1	8	-	-	-	-	15	-	15	-	-	19	-	19	-
2012	노원구	상계3.4동	374	237	19	211	6	1	-	-	16	45	6	39	-	39	-	39	-	-	37	-	37	-
2012	노원구	상계6.7동	536	357	40	260	11	12	30	4	24	29	-	29	-	60	1	59	-	-	66	4	62	-
2012	노원구	중계2.3동	331	216	60	141	12	-	-	3	17	61	-	61	-	37	-	37	-	-	-	-	-	-
2012	노원구	공릉1동	624	398	36	343	11	8	-	-	17	50	5	45	-	81	-	81	-	-	78	2	76	-
2012	은평구	소계	6,970	4,932	621	3,955	125	153	78	-	231	659	57	602	-	463	5	455	-	3	685	29	656	-
2012	은평구	녹번동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	불광1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	갈현1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	갈현2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	구산동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	대조동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	응암1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	응암2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	신사1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	신사2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	증산동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	수색동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	진관동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	불광2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	응암3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	은평구	역촌동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	소계	6,505	5,087	780	4,021	121	82	49	34	165	371	63	308	-	479	6	472	-	1	403	15	388	-
2012	서대문구	천연동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	홍제1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	홍제3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	홍제2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	홍은1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	홍은2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	남가좌1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	남가좌2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	북가좌1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	북가좌2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	충현동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	북아현동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
