기간	자치구	동	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원
기간	자치구	동	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2016	노원구	상계1동	1,367	264	128	-	538	407	30	-	1,205	256	115	-	446	358	30	-
2016	노원구	상계2동	917	145	-	-	657	58	-	57	764	143	-	-	516	48	-	57
2016	노원구	상계5동	605	95	-	-	419	91	-	-	495	90	-	-	344	61	-	-
2016	노원구	상계8동	844	110	-	-	38	647	-	49	775	106	-	-	35	586	-	48
2016	노원구	상계9동	587	119	-	-	-	468	-	-	484	109	-	-	-	375	-	-
2016	노원구	상계10동	411	96	-	-	-	315	-	-	377	95	-	-	-	282	-	-
2016	노원구	상계3.4동	1,042	245	20	-	630	147	-	-	831	217	20	-	464	130	-	-
2016	노원구	상계6.7동	842	90	-	-	190	513	-	49	718	47	-	-	180	442	-	49
2016	노원구	중계2.3동	746	266	40	-	-	440	-	-	691	244	36	-	-	411	-	-
2016	노원구	공릉1동	992	220	-	-	488	284	-	-	908	185	-	-	461	262	-	-
2016	은평구	소계	15,002	1,900	131	232	10,846	1,778	39	76	12,746	1,733	120	209	9,098	1,489	35	62
2016	은평구	녹번동	1,225	302	-	80	725	76	-	42	1,102	284	-	69	640	67	-	42
2016	은평구	불광1동	1,163	92	-	-	771	266	-	34	960	84	-	-	626	230	-	20
2016	은평구	갈현1동	795	49	-	52	638	56	-	-	681	48	-	45	545	43	-	-
2016	은평구	갈현2동	882	20	-	-	750	73	39	-	788	18	-	-	668	67	35	-
2016	은평구	구산동	924	75	-	20	732	97	-	-	767	74	-	18	591	84	-	-
2016	은평구	대조동	1,039	49	131	40	746	73	-	-	921	46	120	38	657	60	-	-
2016	은평구	응암1동	1,053	118	-	-	896	39	-	-	932	102	-	-	799	31	-	-
2016	은평구	응암2동	861	186	-	-	501	174	-	-	664	131	-	-	368	165	-	-
2016	은평구	신사1동	920	49	-	-	794	77	-	-	772	47	-	-	668	57	-	-
2016	은평구	신사2동	650	46	-	-	527	77	-	-	568	46	-	-	468	54	-	-
2016	은평구	증산동	578	99	-	-	238	241	-	-	443	99	-	-	158	186	-	-
2016	은평구	수색동	166	74	-	-	-	92	-	-	126	37	-	-	-	89	-	-
2016	은평구	진관동	1,801	233	-	-	1,354	214	-	-	1,380	227	-	-	991	162	-	-
2016	은평구	불광2동	646	163	-	-	406	77	-	-	514	150	-	-	301	63	-	-
2016	은평구	응암3동	750	84	-	-	666	-	-	-	687	84	-	-	603	-	-	-
2016	은평구	역촌동	1,549	261	-	40	1,102	146	-	-	1,441	256	-	39	1,015	131	-	-
2016	서대문구	소계	7,311	2,457	-	156	3,082	1,072	20	524	6,421	2,219	-	123	2,658	987	18	416
2016	서대문구	천연동	498	86	-	-	380	32	-	-	438	84	-	-	322	32	-	-
2016	서대문구	홍제1동	543	239	-	-	181	123	-	-	492	211	-	-	175	106	-	-
2016	서대문구	홍제3동	491	206	-	-	207	78	-	-	471	199	-	-	195	77	-	-
2016	서대문구	홍제2동	421	109	-	74	161	77	-	-	376	97	-	57	158	64	-	-
2016	서대문구	홍은1동	449	140	-	-	193	116	-	-	366	129	-	-	124	113	-	-
2016	서대문구	홍은2동	474	85	-	-	319	70	-	-	395	83	-	-	253	59	-	-
2016	서대문구	남가좌1동	381	252	-	-	32	97	-	-	359	230	-	-	32	97	-	-
2016	서대문구	남가좌2동	611	140	-	-	307	164	-	-	595	132	-	-	305	158	-	-
2016	서대문구	북가좌1동	461	330	-	-	-	131	-	-	435	311	-	-	-	124	-	-
2016	서대문구	북가좌2동	699	167	-	-	429	103	-	-	610	163	-	-	364	83	-	-
2016	서대문구	충현동	594	102	-	30	353	19	-	90	501	85	-	22	294	16	-	84
2016	서대문구	북아현동	425	203	-	-	194	28	-	-	333	169	-	-	138	26	-	-
2016	서대문구	신촌동	495	88	-	52	-	-	-	355	364	51	-	44	-	-	-	269
2016	서대문구	연희동	769	310	-	-	326	34	20	79	686	275	-	-	298	32	18	63
2016	마포구	소계	9,703	3,571	-	505	3,228	1,755	153	491	8,442	3,193	-	329	2,829	1,575	145	371
2016	마포구	용강동	436	170	-	49	120	97	-	-	407	162	-	39	111	95	-	-
2016	마포구	대흥동	208	208	-	-	-	-	-	-	173	173	-	-	-	-	-	-
2016	마포구	염리동	318	138	-	60	100	20	-	-	228	97	-	35	76	20	-	-
2016	마포구	신수동	496	275	-	40	103	78	-	-	464	275	-	18	101	70	-	-
2016	마포구	서교동	451	314	-	60	-	37	-	40	359	286	-	20	-	36	-	17
2016	마포구	합정동	391	144	-	-	99	110	38	-	332	120	-	-	99	80	33	-
2016	마포구	망원1동	584	87	-	-	307	190	-	-	530	85	-	-	273	172	-	-
2016	마포구	망원2동	662	106	-	-	423	133	-	-	552	103	-	-	318	131	-	-
2016	마포구	연남동	467	75	-	-	313	79	-	-	423	64	-	-	281	78	-	-
2016	마포구	성산1동	369	49	-	-	185	59	76	-	325	46	-	-	147	59	73	-
2016	마포구	성산2동	1,254	321	-	40	470	276	39	108	1,112	292	-	34	390	249	39	108
2016	마포구	상암동	1,330	343	-	148	378	188	-	273	1,110	320	-	93	353	154	-	190
2016	마포구	도화동	423	252	-	-	-	171	-	-	407	241	-	-	-	166	-	-
2016	마포구	서강동	772	316	-	69	318	39	-	30	707	268	-	65	305	39	-	30
2016	마포구	공덕동	725	380	-	-	196	149	-	-	620	325	-	-	168	127	-	-
2016	마포구	아현동	817	393	-	39	216	129	-	40	693	336	-	25	207	99	-	26
2016	양천구	소계	13,292	4,014	-	97	5,753	3,156	16	256	11,667	3,512	-	65	5,048	2,817	16	209
2016	양천구	목1동	399	134	-	38	49	133	-	45	356	122	-	19	49	133	-	33
2016	양천구	목2동	801	198	-	-	429	174	-	-	711	164	-	-	377	170	-	-
2016	양천구	목3동	551	207	-	39	227	78	-	-	496	170	-	26	224	76	-	-
2016	양천구	목4동	726	218	-	-	428	80	-	-	626	188	-	-	366	72	-	-
2016	양천구	신월1동	1,069	273	-	-	639	157	-	-	904	254	-	-	524	126	-	-
2016	양천구	신월2동	872	180	-	-	353	339	-	-	773	169	-	-	299	305	-	-
2016	양천구	신월3동	551	98	-	-	319	85	-	49	454	89	-	-	257	59	-	49
2016	양천구	신월4동	916	200	-	-	460	256	-	-	824	191	-	-	414	219	-	-
2016	양천구	신월5동	520	189	-	-	187	128	16	-	468	167	-	-	162	123	16	-
2016	양천구	신월6동	423	98	-	-	274	51	-	-	296	48	-	-	205	43	-	-
2016	양천구	신월7동	936	173	-	-	632	131	-	-	789	96	-	-	591	102	-	-
2016	양천구	신정1동	352	141	-	-	119	92	-	-	331	139	-	-	102	90	-	-
2016	양천구	신정2동	431	164	-	-	121	146	-	-	406	159	-	-	119	128	-	-
2016	양천구	신정3동	1,648	614	-	-	483	551	-	-	1,449	543	-	-	429	477	-	-
2016	양천구	신정6동	468	20	-	-	206	129	-	113	402	20	-	-	184	112	-	86
2016	양천구	신정7동	798	469	-	-	74	255	-	-	733	438	-	-	64	231	-	-
2016	양천구	목5동	697	252	-	-	167	229	-	49	645	232	-	-	159	213	-	41
2016	양천구	신정4동	1,134	386	-	20	586	142	-	-	1,004	323	-	20	523	138	-	-
2016	강서구	소계	17,685	4,045	292	170	8,840	3,822	34	482	15,707	3,508	277	158	7,906	3,542	30	286
2016	강서구	염창동	1,302	232	-	-	652	348	-	70	1,153	214	-	-	553	341	-	45
2016	강서구	등촌1동	524	84	-	-	124	168	-	148	462	59	-	-	121	164	-	118
2016	강서구	등촌2동	444	92	-	-	274	78	-	-	379	75	-	-	226	78	-	-
2016	강서구	등촌3동	998	479	-	-	383	136	-	-	850	392	-	-	324	134	-	-
2016	강서구	화곡본동	1,480	171	-	59	1,093	157	-	-	1,322	166	-	56	970	130	-	-
2016	강서구	화곡2동	770	141	-	60	485	84	-	-	719	139	-	57	458	65	-	-
2016	강서구	화곡3동	743	111	-	-	406	127	-	99	568	94	-	-	307	126	-	41
2016	강서구	화곡4동	776	79	-	-	626	71	-	-	696	73	-	-	557	66	-	-
2016	강서구	화곡6동	817	120	-	-	547	89	-	61	693	104	-	-	474	67	-	48
2016	강서구	화곡8동	836	114	-	-	396	292	34	-	762	106	-	-	379	247	30	-
2016	강서구	가양1동	470	121	-	-	135	214	-	-	415	118	-	-	87	210	-	-
2016	강서구	가양2동	393	246	20	-	96	31	-	-	326	194	14	-	87	31	-	-
2016	강서구	가양3동	391	79	-	-	144	168	-	-	339	71	-	-	133	135	-	-
2016	강서구	발산1동	1,446	356	99	-	574	417	-	-	1,397	345	98	-	554	400	-	-
2016	강서구	공항동	759	320	173	-	40	141	-	85	514	157	165	-	37	133	-	22
2016	강서구	방화1동	1,652	598	-	-	573	481	-	-	1,482	520	-	-	510	452	-	-
2016	강서구	방화2동	651	116	-	51	389	95	-	-	622	116	-	45	366	95	-	-
2016	강서구	방화3동	769	152	-	-	485	132	-	-	742	149	-	-	461	132	-	-
2016	강서구	화곡1동	1,265	183	-	-	946	136	-	-	1,160	172	-	-	863	125	-	-
2016	강서구	우장산동	1,199	251	-	-	472	457	-	19	1,106	244	-	-	439	411	-	12
2016	구로구	소계	13,994	3,524	311	567	5,842	3,206	117	427	12,836	3,257	277	417	5,407	3,009	116	353
2016	구로구	신도림동	975	143	-	-	455	377	-	-	951	143	-	-	443	365	-	-
2016	구로구	구로1동	807	255	-	63	27	375	-	87	653	138	-	63	27	359	-	66
2016	구로구	구로3동	898	319	-	153	91	237	-	98	790	304	-	136	79	193	-	78
