기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	특례수급자	특례수급자	특례수급자	특례수급자	시설수급자	시설수급자	비고
기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	소계	소계	개인단위보장특례	개인단위보장특례	타법령에 의한 특례	타법령에 의한 특례	시설수급자	시설수급자	비고
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	가구	인원	가구	인원	가구	인원	비고
2008	강서구	방화2동	610	-	999	598	975	…	…	12	24	9	19	3	5	-	-	-
2008	강서구	방화3동	1,174	-	2,024	1,108	1,922	…	…	66	102	11	15	55	87	-	-	-
2008	강서구	화곡1동	399	-	659	396	653	…	…	3	6	3	6	-	-	-	-	-
2008	강서구	우장산동	166	-	242	162	238	…	…	4	4	4	4	-	-	-	-	-
2008	강서구	기타	-	8	462	-	-	…	…	-	-	-	-	-	-	8	462	-
2008	구로구	소계	4,001	9	6,737	3,946	6,389	…	…	55	86	21	35	34	51	9	262	-
2008	구로구	신도림동	61	-	94	61	94	…	…	-	-	-	-	-	-	-	-	-
2008	구로구	구로1동	21	-	33	20	32	…	…	1	1	1	1	-	-	-	-	-
2008	구로구	구로3동	141	-	207	140	205	…	…	1	2	-	-	1	2	-	-	-
2008	구로구	구로4동	474	-	786	458	759	…	…	16	27	2	3	14	24	-	-	-
2008	구로구	구로5동	195	-	278	193	274	…	…	2	4	1	3	1	1	-	-	-
2008	구로구	고척1동	117	1	205	115	167	…	…	2	2	2	2	-	-	1	36	-
2008	구로구	고척2동	344	1	643	340	627	…	…	4	6	2	4	2	2	1	10	-
2008	구로구	개봉2동	128	-	214	126	211	…	…	2	3	1	1	1	2	-	-	-
2008	구로구	개봉3동	154	-	261	151	257	…	…	3	4	3	4	-	-	-	-	-
2008	구로구	오류1동	273	-	448	268	440	…	…	5	8	4	7	1	1	-	-	-
2008	구로구	오류2동	253	2	552	247	411	…	…	6	13	1	3	5	10	2	128	-
2008	구로구	수궁동	159	2	349	159	293	…	…	-	-	-	-	-	-	2	56	-
2008	구로구	가리봉동	685	1	1,046	681	1,031	…	…	4	4	-	-	4	4	1	11	-
2008	구로구	구로2동	610	-	944	608	941	…	…	2	3	1	2	1	1	-	-	-
2008	구로구	개봉1동	386	2	677	379	647	…	…	7	9	3	5	4	4	2	21	-
2008	구로구	기타	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-
2008	금천구	소계	4,373	2	7,335	4,207	6,955	…	…	166	249	43	74	123	175	2	131	-
2008	금천구	가산동	454	-	630	447	622	…	…	7	8	4	5	3	3	-	-	-
2008	금천구	독산1동	620	-	1,125	609	1,111	…	…	11	14	7	10	4	4	-	-	-
2008	금천구	독산2동	308	-	516	290	482	…	…	18	34	6	15	12	19	-	-	-
2008	금천구	독산3동	543	-	898	530	883	…	…	13	15	7	7	6	8	-	-	-
2008	금천구	독산4동	295	-	508	290	497	…	…	5	11	3	8	2	3	-	-	-
2008	금천구	시흥1동	590	-	899	579	881	…	…	11	18	3	4	8	14	-	-	-
2008	금천구	시흥2동	540	1	1,034	469	873	…	…	71	98	8	16	63	82	1	63	-
2008	금천구	시흥3동	97	-	139	93	134	…	…	4	5	-	-	4	5	-	-	-
2008	금천구	시흥4동	414	-	653	403	632	…	…	11	21	1	1	10	20	-	-	-
2008	금천구	시흥5동	512	1	933	497	840	…	…	15	25	4	8	11	17	1	68	-
2008	금천구	기타	-	-	-	-	-	…	…	-	-	-	-	-	-	-	-	-
2008	영등포구	소계	5,469	13	8,892	5,403	8,278	…	…	66	100	40	65	26	35	13	514	-
2008	영등포구	여의동	21	-	21	21	21	…	…	-	-	-	-	-	-	-	-	-
2008	영등포구	당산1동	233	-	341	230	335	…	…	3	6	3	6	-	-	-	-	-
2008	영등포구	당산2동	114	-	156	113	155	…	…	1	1	1	1	-	-	-	-	-
2008	영등포구	양평1동	100	-	136	100	136	…	…	-	-	-	-	-	-	-	-	-
2008	영등포구	양평2동	112	-	163	110	161	…	…	2	2	2	2	-	-	-	-	-
2008	영등포구	신길1동	388	-	615	387	613	…	…	1	2	1	2	-	-	-	-	-
2008	영등포구	신길3동	354	-	685	344	667	…	…	10	18	7	14	3	4	-	-	-
2008	영등포구	신길4동	319	-	543	312	529	…	…	7	14	5	11	2	3	-	-	-
2008	영등포구	신길5동	357	-	658	355	654	…	…	2	4	2	4	-	-	-	-	-
2008	영등포구	신길6동	307	-	503	296	486	…	…	11	17	1	1	10	16	-	-	-
2008	영등포구	신길7동	224	-	346	221	341	…	…	3	5	3	5	-	-	-	-	-
2008	영등포구	대림1동	373	-	636	372	632	…	…	1	4	1	4	-	-	-	-	-
2008	영등포구	대림2동	380	-	624	370	612	…	…	10	12	6	7	4	5	-	-	-
2008	영등포구	대림3동	382	-	669	382	669	…	…	-	-	-	-	-	-	-	-	-
2008	영등포구	영등포본동	901	-	1,027	895	1,021	…	…	6	6	4	4	2	2	-	-	-
2008	영등포구	영등포동	395	-	527	389	521	…	…	6	6	1	1	5	5	-	-	-
2008	영등포구	도림동	348	-	527	345	524	…	…	3	3	3	3	-	-	-	-	-
2008	영등포구	문래동	161	-	201	161	201	…	…	-	-	-	-	-	-	-	-	-
2008	영등포구	기타	-	13	514	-	-	…	…	-	-	-	-	-	-	13	514	-
2008	동작구	소계	3,538	8	6,155	3,431	5,694	…	…	107	132	84	102	23	30	8	329	-
2008	동작구	노량진2동	189	-	291	181	283	…	…	8	8	6	6	2	2	-	-	-
2008	동작구	상도1동	394	-	665	371	634	…	…	23	31	12	13	11	18	-	-	-
2008	동작구	상도2동	218	-	355	207	341	…	…	11	14	6	9	5	5	-	-	-
2008	동작구	상도3동	264	-	418	256	410	…	…	8	8	6	6	2	2	-	-	-
2008	동작구	상도4동	317	-	538	309	527	…	…	8	11	8	11	-	-	-	-	-
2008	동작구	사당1동	147	-	209	141	200	…	…	6	9	4	7	2	2	-	-	-
2008	동작구	사당3동	140	-	206	139	205	…	…	1	1	1	1	-	-	-	-	-
2008	동작구	사당4동	129	-	211	127	209	…	…	2	2	2	2	-	-	-	-	-
2008	동작구	사당5동	122	-	202	118	198	…	…	4	4	4	4	-	-	-	-	-
2008	동작구	대방동	553	-	1,073	543	1,062	…	…	10	11	10	11	-	-	-	-	-
2008	동작구	신대방1동	127	-	180	124	177	…	…	3	3	3	3	-	-	-	-	-
2008	동작구	신대방2동	110	-	186	108	184	…	…	2	2	1	1	1	1	-	-	-
2008	동작구	흑석동	289	-	444	282	432	…	…	7	12	7	12	-	-	-	-	-
2008	동작구	노량진1동	359	-	587	347	574	…	…	12	13	12	13	-	-	-	-	-
2008	동작구	사당2동	180	-	261	178	258	…	…	2	3	2	3	-	-	-	-	-
2008	동작구	기타	-	8	329	-	-	…	…	-	-	-	-	-	-	8	329	-
2008	관악구	소계	5,874	5	10,219	5,747	9,679	…	…	127	163	100	126	27	37	5	377	-
2008	관악구	보라매동	261	-	467	258	464	…	…	3	3	3	3	-	-	-	-	-
2008	관악구	청림동	226	-	371	224	369	…	…	2	2	2	2	-	-	-	-	-
2008	관악구	행운동	380	-	617	378	615	…	…	2	2	1	1	1	1	-	-	-
2008	관악구	낙성대동	99	-	159	96	154	…	…	3	5	3	5	-	-	-	-	-
2008	관악구	중앙동	142	-	208	141	207	…	…	1	1	1	1	-	-	-	-	-
2008	관악구	인헌동	162	-	241	157	235	…	…	5	6	2	3	3	3	-	-	-
2008	관악구	남현동	86	-	126	86	126	…	…	-	-	-	-	-	-	-	-	-
2008	관악구	서원동	175	-	287	165	272	…	…	10	15	6	10	4	5	-	-	-
2008	관악구	신원동	246	-	422	242	418	…	…	4	4	1	1	3	3	-	-	-
2008	관악구	서림동	233	-	375	229	370	…	…	4	5	3	4	1	1	-	-	-
2008	관악구	신사동	227	-	400	226	395	…	…	1	5	1	5	-	-	-	-	-
2008	관악구	신림동	155	-	235	153	233	…	…	2	2	2	2	-	-	-	-	-
2008	관악구	난향동	258	-	412	248	402	…	…	10	10	3	3	7	7	-	-	-
2008	관악구	조원동	153	-	216	149	211	…	…	4	5	4	5	-	-	-	-	-
2008	관악구	대학동	124	-	163	123	161	…	…	1	2	1	2	-	-	-	-	-
2008	관악구	은천동	513	-	919	503	907	…	…	10	12	10	12	-	-	-	-	-
2008	관악구	성현동	529	-	921	521	911	…	…	8	10	8	10	-	-	-	-	-
2008	관악구	청룡동	290	-	467	285	461	…	…	5	6	4	5	1	1	-	-	-
2008	관악구	난곡동	645	-	1,131	627	1,111	…	…	18	20	14	14	4	6	-	-	-
2008	관악구	삼성동	590	-	1,005	570	985	…	…	20	20	20	20	-	-	-	-	-
2008	관악구	미성동	380	-	700	366	672	…	…	14	28	11	18	3	10	-	-	-
2008	관악구	기타	-	5	377	-	-	…	…	-	-	-	-	-	-	5	377	-
2008	서초구	소계	1,777	3	2,919	1,764	2,739	…	…	13	21	12	20	1	1	3	159	-
2008	서초구	서초1동	54	-	…	54	…	…	…	…	…	-	-	-	-	-	-	-
2008	서초구	서초2동	45	-	…	45	…	…	…	…	…	-	-	-	-	-	-	-
2008	서초구	서초3동	107	-	…	107	…	…	…	…	…	-	-	-	-	-	-	-
2008	서초구	서초4동	21	-	…	21	…	…	…	…	…	-	-	-	-	-	-	-
2008	서초구	잠원동	61	1	…	61	…	…	…	…	…	-	-	-	-	1	47	-
2008	서초구	반포본동	6	-	…	6	…	…	…	…	…	-	-	-	-	-	-	-
2008	서초구	반포1동	75	-	…	75	…	…	…	…	…	-	-	-	-	-	-	-
2008	서초구	반포2동	8	-	…	8	…	…	…	…	…	-	-	-	-	-	-	-
2008	서초구	반포3동	19	-	…	19	…	…	…	…	…	-	-	-	-	-	-	-
2008	서초구	반포4동	28	-	…	28	…	…	…	…	…	-	-	-	-	-	-	-
2008	서초구	방배본동	57	-	…	57	…	…	…	…	…	-	-	-	-	-	-	-
2008	서초구	방배1동	89	-	…	89	…	…	…	…	…	-	-	-	-	-	-	-
2008	서초구	방배2동	169	-	…	169	…	…	…	…	…	-	-	-	-	-	-	-
2008	서초구	방배3동	81	-	…	81	…	…	…	…	…	-	-	-	-	-	-	-
2008	서초구	방배4동	138	-	…	138	…	…	…	…	…	-	-	-	-	-	-	-
2008	서초구	양재1동	514	-	…	514	…	…	…	…	…	-	-	-	-	-	-	-
2008	서초구	양재2동	177	-	…	177	…	…	…	…	…	-	-	-	-	-	-	-
2008	서초구	내곡동	99	1	…	99	…	…	…	…	…	-	-	-	-	1	99	-
2008	서초구	기타	29	1	…	16	…	…	…	13	21	12	20	1	1	1	13	-
2008	강남구	소계	4,866	8	9,316	4,842	8,794	…	…	24	35	10	14	14	21	8	487	조건부및입양대상가구아동일반수급자에포함
2008	강남구	신사동	66	-	108	66	108	…	…	-	-	-	-	-	-	-	-	-
2008	강남구	논현1동	136	-	202	136	202	…	…	-	-	-	-	-	-	-	-	-
2008	강남구	논현2동	85	-	147	85	147	…	…	-	-	-	-	-	-	-	-	-
2008	강남구	압구정1동	22	-	30	22	30	…	…	-	-	-	-	-	-	-	-	-
2008	강남구	압구정2동	9	-	15	9	15	…	…	-	-	-	-	-	-	-	-	-
2008	강남구	청담1동	34	-	51	34	51	…	…	-	-	-	-	-	-	-	-	-
2008	강남구	청담2동	38	-	60	37	59	…	…	1	1	1	1	-	-	-	-	-
2008	강남구	삼성1동	34	-	53	34	53	…	…	-	-	-	-	-	-	-	-	-
2008	강남구	삼성2동	88	-	156	88	156	…	…	-	-	-	-	-	-	-	-	-
2008	강남구	대치1동	21	-	48	21	48	…	…	-	-	-	-	-	-	-	-	-
2008	강남구	대치2동	7	-	8	7	8	…	…	-	-	-	-	-	-	-	-	-
2008	강남구	대치3동	62	-	92	62	92	…	…	-	-	-	-	-	-	-	-	-
2008	강남구	대치4동	111	-	196	109	193	…	…	2	3	1	1	1	2	-	-	-
2008	강남구	역삼1동	246	-	395	246	395	…	…	-	-	-	-	-	-	-	-	-
2008	강남구	역삼2동	113	-	183	113	183	…	…	-	-	-	-	-	-	-	-	-
2008	강남구	도곡1동	40	-	60	40	60	…	…	-	-	-	-	-	-	-	-	-
2008	강남구	도곡2동	11	-	15	11	15	…	…	-	-	-	-	-	-	-	-	-
2008	강남구	개포1동	197	-	336	197	336	…	…	-	-	-	-	-	-	-	-	-
2008	강남구	개포2동	123	-	201	122	198	…	…	1	3	1	3	-	-	-	-	-
2008	강남구	개포3동	11	-	11	11	11	…	…	-	-	-	-	-	-	-	-	-
2008	강남구	개포4동	254	-	478	254	478	…	…	-	-	-	-	-	-	-	-	-
2008	강남구	일원본동	10	-	18	10	18	…	…	-	-	-	-	-	-	-	-	-
2008	강남구	일원1동	710	-	1,331	693	1,306	…	…	17	25	4	6	13	19	-	-	-
2008	강남구	일원2동	535	-	1,021	535	1,021	…	…	-	-	-	-	-	-	-	-	-
2008	강남구	수서동	1,705	-	3,319	1,703	3,317	…	…	2	2	2	2	-	-	-	-	-
2008	강남구	세곡동	114	-	211	113	210	…	…	1	1	1	1	-	-	-	-	-
2008	강남구	기타	84	8	571	84	84	…	…	-	-	-	-	-	-	8	487	-
2008	송파구	소계	3,444	7	6,352	3,291	5,683	…	…	153	235	36	47	117	188	7	434	-
2008	송파구	풍납1동	183	-	311	178	302	…	…	5	9	…	…	…	…	-	-	-
2008	송파구	풍납2동	109	-	179	109	179	…	…	-	-	…	…	…	…	-	-	-
2008	송파구	거여1동	123	-	238	121	236	…	…	2	2	…	…	…	…	-	-	-
2008	송파구	거여2동	431	-	693	340	548	…	…	91	145	…	…	…	…	-	-	-
2008	송파구	마천1동	341	-	585	340	583	…	…	1	2	…	…	…	…	-	-	-
2008	송파구	마천2동	303	-	520	296	505	…	…	7	15	…	…	…	…	-	-	-
2008	송파구	방이1동	57	-	100	57	100	…	…	-	-	…	…	…	…	-	-	-
2008	송파구	방이2동	161	-	298	157	294	…	…	4	4	…	…	…	…	-	-	-
2008	송파구	오륜동	2	-	2	2	2	…	…	-	-	…	…	…	…	-	-	-
2008	송파구	오금동	193	-	328	189	324	…	…	4	4	…	…	…	…	-	-	-
2008	송파구	송파1동	97	-	134	95	132	…	…	2	2	…	…	…	…	-	-	-
2008	송파구	송파2동	63	-	97	63	97	…	…	-	-	…	…	…	…	-	-	-
2008	송파구	석촌동	226	-	362	225	361	…	…	1	1	…	…	…	…	-	-	-
2008	송파구	삼전동	205	-	353	202	346	…	…	3	7	…	…	…	…	-	-	-
2008	송파구	가락본동	122	-	186	119	183	…	…	3	3	…	…	…	…	-	-	-
2008	송파구	가락1동	53	-	88	52	87	…	…	1	1	…	…	…	…	-	-	-
2008	송파구	가락2동	111	-	209	107	203	…	…	4	6	…	…	…	…	-	-	-
2008	송파구	문정1동	82	-	134	80	132	…	…	2	2	…	…	…	…	-	-	-
2008	송파구	문정2동	46	-	78	46	78	…	…	-	-	…	…	…	…	-	-	-
2008	송파구	장지동	324	-	665	303	635	…	…	21	30	…	…	…	…	-	-	-
2008	송파구	잠실본동	180	-	316	178	314	…	…	2	2	…	…	…	…	-	-	-
2008	송파구	잠실4동	-	-	-	-	-	…	…	-	-	…	…	…	…	-	-	-
2008	송파구	잠실6동	9	-	11	9	11	…	…	-	-	…	…	…	…	-	-	-
2008	송파구	잠실7동	-	-	-	-	-	…	…	-	-	…	…	…	…	-	-	-
2008	송파구	잠실2동	6	-	6	6	6	…	…	-	-	…	…	…	…	-	-	-
2008	송파구	잠실3동	12	-	16	12	16	…	…	-	-	…	…	…	…	-	-	-
2008	송파구	기타	5	7	443	5	9	…	…	-	-	…	…	…	…	7	434	-
2008	강동구	소계	3,589	7	6,379	3,553	5,799	…	…	36	45	35	43	1	2	7	535	-
2008	강동구	강일동	9	-	14	9	14	…	…	-	-	…	…	…	…	-	-	-
2008	강동구	상일동	138	1	277	135	215	…	…	3	3	…	…	…	…	1	59	-
2008	강동구	명일1동	119	-	172	118	171	…	…	1	1	…	…	…	…	-	-	-
2008	강동구	명일2동	48	-	78	47	77	…	…	1	1	…	…	…	…	-	-	-
2008	강동구	고덕1동	146	1	375	145	253	…	…	1	1	…	…	…	…	1	121	-
2008	강동구	고덕2동	234	2	578	233	427	…	…	1	1	…	…	…	…	2	150	-
2008	강동구	암사2동	55	-	94	54	93	…	…	1	1	…	…	…	…	-	-	-
2008	강동구	암사3동	38	1	106	37	54	…	…	1	2	…	…	…	…	1	50	-
2008	강동구	천호1동	345	1	663	342	562	…	…	3	3	…	…	…	…	1	98	-
2008	강동구	천호3동	418	-	661	413	652	…	…	5	9	…	…	…	…	-	-	-
2008	강동구	성내1동	83	-	148	82	147	…	…	1	1	…	…	…	…	-	-	-
2008	강동구	성내2동	241	-	365	237	361	…	…	4	4	…	…	…	…	-	-	-
2008	강동구	성내3동	150	-	226	148	224	…	…	2	2	…	…	…	…	-	-	-
2008	강동구	둔촌1동	11	-	13	11	13	…	…	-	-	…	…	…	…	-	-	-
2008	강동구	둔촌2동	154	1	295	151	234	…	…	3	4	…	…	…	…	1	57	-
2008	강동구	암사1동	495	-	844	493	842	…	…	2	2	…	…	…	…	-	-	-
2008	강동구	천호2동	628	-	989	625	983	…	…	3	6	…	…	…	…	-	-	-
2008	강동구	길동	277	-	481	273	477	…	…	4	4	…	…	…	…	-	-	-
2008	강동구	기타	-	-	-	-	-	…	…	-	-	…	…	…	…	-	-	-
