기간	자치구	동	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황
기간	자치구	동	합계	개	개	개	개	개	고양이	고양이	고양이	고양이	고양이	기타	기타	기타	기타	기타
기간	자치구	동	합계	계	인도(주인)	입양분양	폐사안락사	계류기증	계	인도(주인)	입양분양	폐사안락사	계류기증	계	인도(주인)	입양분양	폐사안락사	계류기증
2012	서대문구	홍제3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	홍제2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	홍은1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	홍은2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	남가좌1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	남가좌2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	북가좌1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	북가좌2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	충현동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	북아현동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	신촌동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	서대문구	연희동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	마포구	소계	1,084	403	103	123	47	130	665	7	114	204	340	16	-	7	5	4
2012	마포구	용강동	77	25	14	4	2	5	51	1	9	12	29	1	-	1	-	-
2012	마포구	대흥동	67	31	5	16	4	6	35	-	4	16	15	1	-	-	-	1
2012	마포구	염리동	54	21	9	2	5	5	32	-	1	12	19	1	-	1	-	-
2012	마포구	신수동	84	37	9	5	6	17	47	-	15	11	21	-	-	-	-	-
2012	마포구	서교동	110	32	8	2	1	21	77	-	4	31	42	1	-	-	-	1
2012	마포구	합정동	72	31	14	6	5	6	40	-	6	12	22	1	-	-	1	-
2012	마포구	망원1동	83	35	6	8	5	16	48	2	9	12	25	-	-	-	-	-
2012	마포구	망원2동	75	27	4	16	2	5	46	1	12	12	21	2	-	-	-	2
2012	마포구	연남동	62	20	5	11	-	4	39	-	5	8	26	3	-	2	1	-
2012	마포구	성산1동	60	20	7	2	5	6	40	-	9	9	22	-	-	-	-	-
2012	마포구	성산2동	45	10	2	4	2	2	34	-	12	10	12	1	-	1	-	-
2012	마포구	상암동	40	15	5	5	1	4	23	-	2	9	12	2	-	1	1	-
2012	마포구	도화동	76	27	1	12	2	12	47	2	7	16	22	2	-	-	2	-
2012	마포구	서강동	57	28	7	14	2	5	29	1	5	9	14	-	-	-	-	-
2012	마포구	공덕동	61	21	5	7	2	7	39	-	8	13	18	1	-	1	-	-
2012	마포구	아현동	61	23	2	9	3	9	38	-	6	12	20	-	-	-	-	-
2012	양천구	소계	697	541	175	213	122	31	145	4	52	76	13	11	-	4	6	1
2012	양천구	목1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	목2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	목3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	목4동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신월1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신월2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신월3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신월4동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신월5동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신월6동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신월7동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신정1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신정2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신정3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신정6동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신정7동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	목5동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	양천구	신정4동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	소계	602	385	74	94	217	-	199	5	8	186	-	18	1	5	12	-
2012	강서구	염창동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	등촌1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	등촌2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	등촌3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	화곡본동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	화곡2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	화곡3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	화곡4동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	화곡6동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	화곡8동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	가양1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	가양2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	가양3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	발산1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	공항동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	방화1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	방화2동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	방화3동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	화곡1동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	강서구	우장산동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	구로구	소계	364	247	48	40	146	13	108	2	5	93	8	9	-	3	6	-
2012	구로구	신도림동	10	8	2	1	…	…	2	-	-	…	…	-	-	-	-	-
2012	구로구	구로1동	15	9	2	1	…	…	5	-	-	…	…	1	-	-	1	-
2012	구로구	구로3동	55	35	8	3	…	…	19	-	-	…	…	1	-	-	1	-
2012	구로구	구로4동	20	10	1	3	…	…	9	-	-	…	…	1	-	1	-	-
2012	구로구	구로5동	40	29	4	7	…	…	11	2	-	…	…	-	-	-	-	-
2012	구로구	고척1동	23	16	3	4	…	…	5	-	1	…	…	2	-	-	2	-
2012	구로구	고척2동	16	14	5	2	…	…	2	-	-	…	…	-	-	-	-	-
2012	구로구	개봉2동	13	12	2	2	…	…	-	-	-	…	…	1	-	-	1	-
2012	구로구	개봉3동	19	16	3	1	…	…	2	-	-	…	…	1	-	1	-	-
2012	구로구	오류1동	19	14	3	3	…	…	5	-	-	…	…	-	-	-	-	-
2012	구로구	오류2동	26	20	4	5	…	…	5	-	-	…	…	1	-	1	-	-
