기간	자치구	행정동	합계	합계	합계	합계	합계	합계	합계	합계	합계	합계	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업	제조업
기간	자치구	행정동	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	완제품반제품재공품재고액	완제품반제품재공품재고액	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)
기간	자치구	행정동	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)	사업체수	월평균종사자수	연간급여액(퇴직금제외)	생산액	출하액	연초	연말	주요생산비	부가가치	유형자산연말잔액(건설중인자산제외)
2016	광진구	자양1동	9	177	4,520	31,379	31,240	…	…	16,521	14,858	7,869	9	177	4,520	31,379	31,240	…	…	16,521	14,858	7,869
2016	광진구	자양2동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	광진구	자양4동	5	73	2,040	7,785	7,785	…	…	3,655	4,130	942	5	73	2,040	7,785	7,785	…	…	3,655	4,130	942
2016	동대문구	소계	185	3,250	88,648	1,007,947	985,314	100,454	123,087	582,271	425,676	177,659	185	3,250	88,648	1,007,947	985,314	100,454	123,087	582,271	425,676	177,659
2016	동대문구	휘경1동	1	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X
2016	동대문구	휘경2동	4	185	5,397	102,868	97,591	…	…	44,831	58,037	52,951	4	185	5,397	102,868	97,591	…	…	44,831	58,037	52,951
2016	동대문구	청량리동	3	44	1,045	9,345	9,329	…	…	6,745	2,600	123	3	44	1,045	9,345	9,329	…	…	6,745	2,600	123
2016	동대문구	용신동	39	776	24,125	265,919	250,299	…	…	115,927	149,992	42,526	39	776	24,125	265,919	250,299	…	…	115,927	149,992	42,526
2016	동대문구	제기동	10	146	2,942	42,847	41,769	…	…	28,251	14,596	9,165	10	146	2,942	42,847	41,769	…	…	28,251	14,596	9,165
2016	동대문구	전농1동	6	86	2,029	17,725	17,903	…	…	8,811	8,914	3,031	6	86	2,029	17,725	17,903	…	…	8,811	8,914	3,031
2016	동대문구	전농2동	2	X	X	X	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X
2016	동대문구	답십리1동	5	83	1,345	11,379	11,572	…	…	4,941	6,438	7,482	5	83	1,345	11,379	11,572	…	…	4,941	6,438	7,482
2016	동대문구	답십리2동	5	72	1,931	14,416	13,948	…	…	10,041	4,375	494	5	72	1,931	14,416	13,948	…	…	10,041	4,375	494
2016	동대문구	장안1동	68	1,141	30,944	392,458	387,655	…	…	258,747	133,711	29,940	68	1,141	30,944	392,458	387,655	…	…	258,747	133,711	29,940
2016	동대문구	장안2동	39	624	15,122	130,912	135,066	…	…	83,221	47,691	12,819	39	624	15,122	130,912	135,066	…	…	83,221	47,691	12,819
