기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	시설	인원
2016	은평구	녹번동	627	-	888	541	723	54	121	32	44	-	-
2016	은평구	불광1동	729	-	1,064	618	856	83	165	28	43	-	-
2016	은평구	갈현1동	811	-	1,293	651	963	126	270	34	60	-	-
2016	은평구	갈현2동	642	-	1,002	539	788	80	177	23	37	-	-
2016	은평구	구산동	636	-	962	554	785	59	138	23	39	-	-
2016	은평구	대조동	848	-	1,222	717	995	99	189	32	38	-	-
2016	은평구	응암1동	475	-	689	402	544	52	114	21	31	-	-
2016	은평구	응암2동	436	-	681	363	509	60	153	13	19	-	-
2016	은평구	신사1동	454	-	704	381	556	53	121	20	27	-	-
2016	은평구	신사2동	442	-	765	372	613	54	129	16	23	-	-
2016	은평구	증산동	308	-	502	261	407	34	72	13	23	-	-
2016	은평구	수색동	467	-	682	405	558	47	100	15	24	-	-
2016	은평구	진관동	424	-	716	342	555	53	120	29	41	-	-
2016	은평구	불광2동	961	-	1,405	802	1,103	114	228	45	74	-	-
2016	은평구	응암3동	814	-	1,252	689	1,006	76	183	49	63	-	-
2016	은평구	역촌동	971	-	1,506	835	1,247	104	210	32	49	-	-
2016	은평구	기타	-	39	2,311	-	-	-	-	-	-	39	2,311
2016	서대문구	소계	5,167	21	7,563	4,514	5,886	523	1,039	130	164	21	474
2016	서대문구	천연동	461	-	535	409	464	35	51	17	20	-	-
2016	서대문구	홍제1동	346	-	462	291	370	45	83	10	9	-	-
2016	서대문구	홍제3동	401	-	556	338	449	51	91	12	16	-	-
2016	서대문구	홍제2동	247	-	343	226	299	16	38	5	6	-	-
2016	서대문구	홍은1동	452	-	603	394	507	50	87	8	9	-	-
2016	서대문구	홍은2동	521	-	784	456	646	56	125	9	13	-	-
2016	서대문구	남가좌1동	128	-	168	114	145	7	12	7	11	-	-
2016	서대문구	남가좌2동	524	-	724	458	599	46	96	20	29	-	-
2016	서대문구	북가좌1동	173	-	267	156	229	15	34	2	4	-	-
2016	서대문구	북가좌2동	549	-	843	474	687	60	140	15	16	-	-
2016	서대문구	충현동	294	-	408	254	330	32	65	8	13	-	-
2016	서대문구	북아현동	208	-	289	176	233	28	53	4	3	-	-
2016	서대문구	신촌동	449	-	496	416	442	28	49	5	5	-	-
2016	서대문구	연희동	414	-	611	352	486	54	115	8	10	-	-
2016	서대문구	기타	-	21	474	-	-	-	-	-	-	21	474
