기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	특례수급자	특례수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	소계	소계	개인단위보장특례	개인단위보장특례	타법령에 의한 특례	타법령에 의한 특례	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	가구	인원	가구	인원	시설수	인원
2012	노원구	상계3.4동	1,051	1	1,609	928	1,372	98	199	25	33	5	19	20	14	1	5
2012	노원구	상계6.7동	225	1	505	183	366	38	127	4	4	4	4	-	-	1	8
2012	노원구	중계2.3동	1,945	2	3,891	1,745	3,282	162	448	38	79	9	38	29	41	2	82
2012	노원구	공릉1동	1,027	5	1,723	962	1,564	52	121	13	34	4	15	9	19	5	4
2012	노원구	기타	2	-	661	2	2	-	-	-	-	-	-	-	-	-	659
2012	은평구	소계	6,096	35	12,335	4,968	7,121	828	2,095	300	512	82	156	218	356	35	2,607
2012	은평구	녹번동	419	5	645	351	485	43	100	25	48	6	10	19	38	5	12
2012	은평구	불광1동	408	1	612	360	521	30	67	18	21	5	9	13	12	1	3
2012	은평구	갈현1동	456	2	801	368	569	69	188	19	38	8	17	11	21	2	6
2012	은평구	갈현2동	332	-	609	256	429	60	154	16	26	4	5	12	21	-	-
2012	은평구	구산동	379	6	2,120	308	429	53	134	18	36	4	9	14	27	6	1,521
2012	은평구	대조동	461	2	709	374	516	65	153	22	32	6	10	16	22	2	8
2012	은평구	응암1동	386	1	1,326	303	393	54	128	29	42	10	15	19	27	1	763
2012	은평구	응암2동	350	1	616	289	396	47	129	14	29	8	16	6	13	1	62
2012	은평구	신사1동	253	-	426	204	299	43	115	6	12	4	5	2	7	-	-
2012	은평구	신사2동	258	-	464	214	331	40	124	4	9	-	-	4	9	-	-
2012	은평구	증산동	178	-	315	140	210	28	79	10	26	6	14	4	12	-	-
2012	은평구	수색동	379	-	578	290	374	65	164	24	40	6	12	18	28	-	-
2012	은평구	진관동	242	1	433	201	315	31	77	10	13	-	-	10	13	1	28
2012	은평구	불광2동	615	1	894	521	698	81	178	13	15	-	-	13	15	1	3
2012	은평구	응암3동	475	2	735	388	562	51	117	36	50	5	7	31	43	2	6
2012	은평구	역촌동	505	3	872	401	594	68	188	36	75	10	27	26	48	3	15
2012	은평구	기타	-	10	180	-	-	-	-	-	-	-	-	-	-	10	180
2012	서대문구	소계	3,497	30	5,348	3,160	4,270	271	621	66	94	12	21	54	73	30	363
2012	서대문구	천연동	375	…	467	348	424	21	32	6	7	1	1	5	6	…	4
2012	서대문구	홍제1동	231	…	313	201	253	22	43	8	12	-	-	8	12	…	5
2012	서대문구	홍제3동	255	…	339	235	300	16	35	4	4	-	-	4	4	…	-
2012	서대문구	홍제2동	164	…	239	150	217	14	20	-	-	-	-	-	-	…	2
2012	서대문구	홍은1동	320	…	461	297	399	18	51	5	9	2	3	3	6	…	2
2012	서대문구	홍은2동	336	…	539	288	421	44	111	4	7	3	4	1	3	…	-
2012	서대문구	남가좌1동	42	…	46	41	44	1	1	-	-	-	-	-	-	…	1
2012	서대문구	남가좌2동	484	…	788	420	646	47	113	17	28	1	5	16	23	…	1
2012	서대문구	북가좌1동	60	…	95	52	77	4	12	4	5	-	-	4	5	…	1
2012	서대문구	북가좌2동	291	…	473	252	382	36	85	3	3	1	1	2	2	…	3
2012	서대문구	충현동	229	…	307	212	268	11	28	6	8	2	4	4	4	…	3
2012	서대문구	북아현동	108	…	149	96	127	9	18	3	4	-	-	3	4	…	-
2012	서대문구	신촌동	262	…	301	257	289	3	5	2	2	1	1	1	1	…	5
2012	서대문구	연희동	333	…	490	304	416	25	67	4	5	1	2	3	3	…	2
2012	서대문구	기타	7	…	341	7	7	-	-	-	-	-	-	-	-	…	334
2012	마포구	소계	3,852	16	6,438	3,265	4,717	493	1,288	94	159	65	115	29	44	16	274
2012	마포구	용강동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	마포구	대흥동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	마포구	염리동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	마포구	신수동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	마포구	서교동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
2012	마포구	합정동	…	…	…	…	…	…	…	…	…	…	…	…	…	…	…
