기간	자치구	동	사업체수	종사자수	평균종사자	사업체 평균연령
2012	송파구	삼전동	2,035	10,220	5.02	8년1개월
2012	송파구	가락본동	3,451	29,940	8.68	7년6개월
2012	송파구	가락1동	3,432	10,371	3.02	12년9개월
2012	송파구	가락2동	1,871	9,247	4.94	8년1개월
2012	송파구	문정1동	1,425	7,913	5.55	7년8개월
2012	송파구	문정2동	2,044	10,279	5.03	5년4개월
2012	송파구	장지동	1,465	10,267	7.01	8년10개월
2012	송파구	잠실본동	3,150	17,312	5.5	7년5개월
2012	송파구	잠실4동	473	1,890	4	8년6개월
2012	송파구	잠실6동	1,971	26,355	13.37	9년12개월
2012	송파구	잠실7동	200	970	4.85	10년10개월
2012	송파구	잠실2동	713	3,534	4.96	6년2개월
2012	송파구	잠실3동	1,167	8,329	7.14	8년0개월
2012	강동구	소계	29,694	129,430	4.36	9년7개월
2012	강동구	강일동	603	10,962	18.18	8년3개월
2012	강동구	상일동	1,237	5,238	4.23	12년3개월
2012	강동구	명일1동	1,650	4,937	2.99	8년2개월
2012	강동구	명일2동	1,265	4,869	3.85	7년4개월
2012	강동구	고덕1동	577	1,878	3.25	12년4개월
2012	강동구	고덕2동	1,927	3,795	1.97	20년5개월
2012	강동구	암사2동	784	3,170	4.04	9년3개월
2012	강동구	암사3동	575	2,019	3.51	10년8개월
2012	강동구	천호1동	1,555	5,296	3.41	9년11개월
2012	강동구	천호3동	1,862	6,456	3.47	8년10개월
2012	강동구	성내1동	2,137	14,744	6.9	8년6개월
2012	강동구	성내2동	1,954	7,849	4.02	7년12개월
2012	강동구	성내3동	2,372	10,355	4.37	7년9개월
2012	강동구	둔촌1동	402	1,390	3.46	12년5개월
2012	강동구	둔촌2동	1,575	9,051	5.75	8년12개월
2012	강동구	암사1동	1,947	4,984	2.56	9년1개월
2012	강동구	천호2동	3,404	13,651	4.01	8년2개월
2012	강동구	길동	3,868	18,786	4.86	8년5개월
