기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반
기간	자치구	동	계	남	여	계	남	여	계	남	여	계	남	여
2016	마포구	망원2동	492	130	362	57	11	46	23	5	18	412	114	298
2016	마포구	연남동	462	121	341	67	12	55	21	4	17	374	105	269
2016	마포구	성산1동	538	157	381	94	34	60	32	10	22	412	113	299
2016	마포구	성산2동	1,313	310	1,003	261	196	65	112	83	29	940	31	909
2016	마포구	상암동	378	90	288	74	15	59	69	25	44	235	50	185
2016	마포구	도화동	645	177	468	122	42	80	41	8	33	482	127	355
2016	마포구	서강동	535	142	393	69	23	46	20	2	18	446	117	329
2016	마포구	공덕동	1,378	374	1,004	198	62	136	18	5	13	1,162	307	855
2016	마포구	아현동	527	148	379	116	29	87	43	6	37	368	113	255
2016	양천구	소계	10,178	2,983	7,195	1,997	605	1,392	859	260	599	7,322	2,118	5,204
2016	양천구	목1동	363	91	272	53	20	33	36	22	14	274	49	225
2016	양천구	목2동	602	155	447	96	24	72	35	9	26	471	122	349
2016	양천구	목3동	529	140	389	102	27	75	57	20	37	370	93	277
2016	양천구	목4동	527	140	387	104	33	71	17	5	12	406	102	304
2016	양천구	신월1동	816	288	528	227	83	144	95	30	65	494	175	319
2016	양천구	신월2동	528	148	380	118	33	85	58	25	33	352	90	262
2016	양천구	신월3동	755	265	490	186	60	126	92	21	71	477	184	293
2016	양천구	신월4동	353	104	249	46	14	32	25	6	19	282	84	198
2016	양천구	신월5동	377	123	254	105	34	71	44	15	29	228	74	154
2016	양천구	신월6동	172	53	119	24	10	14	5	-	5	143	43	100
2016	양천구	신월7동	755	213	542	105	28	77	52	13	39	598	172	426
2016	양천구	신정1동	351	85	266	54	15	39	38	18	20	259	52	207
2016	양천구	신정2동	419	96	323	97	20	77	35	6	29	287	70	217
2016	양천구	신정3동	1,012	325	687	208	67	141	40	12	28	764	246	518
2016	양천구	신정6동	258	55	203	3	-	3	8	-	8	247	55	192
2016	양천구	신정7동	914	254	660	271	60	211	147	38	109	496	156	340
2016	양천구	목5동	443	80	363	3	-	3	2	-	2	438	80	358
2016	양천구	신정4동	1,004	368	636	195	77	118	73	20	53	736	271	465
2016	강서구	소계	15,548	5,106	10,442	3,095	1,005	2,090	888	205	683	11,565	3,896	7,669
2016	강서구	염창동	446	123	323	25	11	14	2	1	1	419	111	308
2016	강서구	등촌1동	552	158	394	36	7	29	15	4	11	501	147	354
2016	강서구	등촌2동	348	107	241	45	9	36	22	6	16	281	92	189
2016	강서구	등촌3동	1,652	473	1,179	719	231	488	105	23	82	828	219	609
2016	강서구	화곡본동	691	205	486	129	36	93	43	10	33	519	159	360
2016	강서구	화곡2동	467	162	305	82	27	55	26	4	22	359	131	228
2016	강서구	화곡3동	557	175	382	71	18	53	21	5	16	465	152	313
2016	강서구	화곡4동	650	213	437	106	33	73	35	7	28	509	173	336
2016	강서구	화곡6동	553	190	363	70	20	50	44	10	34	439	160	279
2016	강서구	화곡8동	619	190	429	86	25	61	14	5	9	519	160	359
2016	강서구	가양1동	334	94	240	15	3	12	12	3	9	307	88	219
2016	강서구	가양2동	997	287	710	466	157	309	105	20	85	426	110	316
2016	강서구	가양3동	781	194	587	277	87	190	82	17	65	422	90	332
2016	강서구	발산1동	601	153	448	60	15	45	33	7	26	508	131	377
2016	강서구	공항동	1,308	825	483	101	33	68	56	15	41	1,151	777	374
2016	강서구	방화1동	906	303	603	106	29	77	41	7	34	759	267	492
2016	강서구	방화2동	1,001	318	683	152	76	76	46	17	29	803	225	578
2016	강서구	방화3동	1,065	303	762	314	114	200	90	19	71	661	170	491
2016	강서구	화곡1동	1,279	425	854	176	60	116	66	18	48	1,037	347	690
2016	강서구	우장산동	741	208	533	59	14	45	30	7	23	652	187	465
2016	구로구	소계	11,732	3,938	7,794	1,771	588	1,183	712	271	441	9,249	3,079	6,170
2016	구로구	신도림동	501	144	357	25	11	14	13	5	8	463	128	335
2016	구로구	구로1동	270	71	199	12	4	8	9	2	7	249	65	184
2016	구로구	구로3동	648	215	433	201	56	145	79	29	50	368	130	238
2016	구로구	구로4동	1,011	315	696	65	26	39	43	12	31	903	277	626
2016	구로구	구로5동	731	263	468	193	48	145	62	24	38	476	191	285
2016	구로구	고척1동	663	187	476	87	25	62	38	19	19	538	143	395
2016	구로구	고척2동	850	273	577	75	19	56	39	17	22	736	237	499
2016	구로구	개봉2동	815	263	552	124	39	85	62	24	38	629	200	429
2016	구로구	개봉3동	579	182	397	191	74	117	72	25	47	316	83	233
2016	구로구	오류1동	686	235	451	121	39	82	34	13	21	531	183	348
2016	구로구	오류2동	987	320	667	108	31	77	40	12	28	839	277	562
2016	구로구	수궁동	699	253	446	143	60	83	50	25	25	506	168	338
2016	구로구	가리봉동	793	341	452	162	43	119	71	25	46	560	273	287
2016	구로구	구로2동	1,383	447	936	85	25	60	48	13	35	1,250	409	841
2016	구로구	개봉1동	1,116	429	687	179	88	91	52	26	26	885	315	570
2016	금천구	소계	8,070	2,771	5,299	1,872	602	1,270	569	175	394	5,629	1,994	3,635
2016	금천구	가산동	623	291	332	132	62	70	40	17	23	451	212	239
2016	금천구	독산1동	889	318	571	248	83	165	62	22	40	579	213	366
2016	금천구	독산2동	781	253	528	195	64	131	68	14	54	518	175	343
2016	금천구	독산3동	980	348	632	218	60	158	41	7	34	721	281	440
2016	금천구	독산4동	535	166	369	114	25	89	46	12	34	375	129	246
2016	금천구	시흥1동	1,315	458	857	259	91	168	84	33	51	972	334	638
2016	금천구	시흥2동	701	222	479	231	71	160	52	12	40	418	139	279
2016	금천구	시흥3동	431	153	278	56	18	38	36	6	30	339	129	210
2016	금천구	시흥4동	759	242	517	163	49	114	60	35	25	536	158	378
2016	금천구	시흥5동	1,056	320	736	256	79	177	80	17	63	720	224	496
2016	영등포구	소계	13,239	4,625	8,614	2,169	847	1,322	208	52	156	10,862	3,726	7,136
2016	영등포구	여의동	991	258	733	15	5	10	2	-	2	974	253	721
2016	영등포구	당산1동	740	271	469	110	45	65	10	4	6	620	222	398
2016	영등포구	당산2동	686	199	487	39	15	24	4	2	2	643	182	461
2016	영등포구	양평1동	540	185	355	59	16	43	6	2	4	475	167	308
2016	영등포구	양평2동	434	132	302	46	9	37	3	-	3	385	123	262
2016	영등포구	신길1동	1,022	329	693	193	54	139	24	6	18	805	269	536
2016	영등포구	신길3동	698	220	478	132	40	92	17	5	12	549	175	374
2016	영등포구	신길4동	524	169	355	125	32	93	19	3	16	380	134	246
2016	영등포구	신길5동	548	183	365	95	30	65	21	4	17	432	149	283
2016	영등포구	신길6동	713	227	486	88	32	56	9	2	7	616	193	423
2016	영등포구	신길7동	330	97	233	32	9	23	7	-	7	291	88	203
2016	영등포구	대림1동	688	211	477	121	35	86	14	2	12	553	174	379
2016	영등포구	대림2동	667	234	433	112	35	77	9	2	7	546	197	349
2016	영등포구	대림3동	774	238	536	123	42	81	8	4	4	643	192	451
2016	영등포구	영등포본동	1,010	386	624	186	83	103	16	8	8	808	295	513
2016	영등포구	영등포동	1,240	689	551	472	270	202	17	4	13	751	415	336
2016	영등포구	도림동	802	287	515	146	52	94	13	4	9	643	231	412
2016	영등포구	문래동	832	310	522	75	43	32	9	-	9	748	267	481
2016	동작구	소계	11,751	3,630	8,121	1,637	536	1,101	824	229	595	9,290	2,865	6,425
2016	동작구	노량진2동	671	235	436	131	54	77	53	14	39	487	167	320
2016	동작구	상도1동	1,339	346	993	199	73	126	104	27	77	1,036	246	790
2016	동작구	상도2동	951	331	620	96	35	61	74	19	55	781	277	504
2016	동작구	상도3동	727	197	530	112	22	90	66	17	49	549	158	391
2016	동작구	상도4동	1,032	289	743	119	36	83	78	25	53	835	228	607
2016	동작구	사당1동	622	550	72	103	85	18	35	26	9	484	439	45
2016	동작구	사당3동	585	172	413	45	13	32	17	6	11	523	153	370
2016	동작구	사당4동	469	132	337	61	14	47	23	2	21	385	116	269
2016	동작구	사당5동	347	83	264	33	8	25	21	3	18	293	72	221
2016	동작구	대방동	990	207	783	183	36	147	161	46	115	646	125	521
2016	동작구	신대방1동	604	181	423	76	18	58	32	8	24	496	155	341
2016	동작구	신대방2동	500	167	333	66	35	31	15	1	14	419	131	288
