기간	자치구	동	인구	면적	인구밀도
2012	강동구	강일동	34,701	2.8	12,393
2012	강동구	상일동	27,912	2.66	10,493
2012	강동구	명일1동	28,642	0.61	46,954
2012	강동구	명일2동	19,064	0.97	19,654
2012	강동구	고덕1동	17,558	1.73	10,149
2012	강동구	고덕2동	18,163	2.01	9,036
2012	강동구	암사2동	16,530	1.18	14,008
2012	강동구	암사3동	19,083	2.51	7,603
2012	강동구	천호1동	32,013	0.71	45,089
2012	강동구	천호3동	26,970	0.79	34,139
2012	강동구	성내1동	20,147	0.58	34,736
2012	강동구	성내2동	27,162	0.67	40,540
2012	강동구	성내3동	25,623	0.71	36,089
2012	강동구	둔촌1동	20,258	0.92	22,020
2012	강동구	둔촌2동	29,655	1.54	19,256
2012	강동구	암사1동	39,384	1.01	38,994
2012	강동구	천호2동	38,480	1.57	24,510
2012	강동구	길동	51,382	1.61	31,914
2012	강동구	기타	1	-	-
