기간	자치구	동	사업체수	종사자수	평균종사자	사업체 창업률
2016	강서구	등촌2동	735	3,454	4.7	9.66
2016	강서구	등촌3동	2,627	22,329	8.5	15.76
2016	강서구	화곡본동	1,355	4,047	2.99	10.7
2016	강서구	화곡2동	852	2,790	3.27	12.09
2016	강서구	화곡3동	1,227	5,360	4.37	15.57
2016	강서구	화곡4동	1,444	3,860	2.67	12.19
2016	강서구	화곡6동	1,850	11,322	6.12	13.84
2016	강서구	화곡8동	1,230	3,229	2.63	13.58
2016	강서구	가양1동	1,809	14,040	7.76	21.72
2016	강서구	가양2동	640	3,495	5.46	8.75
2016	강서구	가양3동	933	7,631	8.18	8.68
2016	강서구	발산1동	2,322	11,966	5.15	9.52
2016	강서구	공항동	1,973	35,503	17.99	12.47
2016	강서구	방화1동	2,879	10,377	3.6	12.16
2016	강서구	방화2동	2,932	13,631	4.65	8.77
2016	강서구	방화3동	932	4,739	5.08	8.26
2016	강서구	화곡1동	3,126	10,841	3.47	13.31
2016	강서구	우장산동	1,708	7,430	4.35	14.4
2016	구로구	계	38,033	211,391	5.56	11.19
2016	구로구	신도림동	2,835	14,839	5.23	13.69
2016	구로구	구로1동	626	3,021	4.83	8.95
2016	구로구	구로3동	6,881	82,785	12.03	15.3
2016	구로구	구로4동	2,023	5,011	2.48	12.65
2016	구로구	구로5동	4,857	26,516	5.46	12.25
2016	구로구	고척1동	2,629	9,475	3.6	9.59
2016	구로구	고척2동	1,427	3,976	2.79	9.32
2016	구로구	개봉2동	1,133	2,989	2.64	9.53
2016	구로구	개봉3동	1,012	5,099	5.04	9.98
2016	구로구	오류1동	1,121	5,158	4.6	12.13
2016	구로구	오류2동	1,573	7,882	5.01	13.1
2016	구로구	수궁동	1,272	5,881	4.62	9.04
2016	구로구	가리봉동	976	2,820	2.89	14.14
2016	구로구	구로2동	7,912	30,343	3.84	6.52
2016	구로구	개봉1동	1,756	5,596	3.19	11.45
2016	금천구	계	30,987	225,578	7.28	12.22
2016	금천구	가산동	13,752	153,745	11.18	14.18
2016	금천구	독산1동	3,922	24,440	6.23	10.76
2016	금천구	독산2동	1,178	3,542	3.01	12.65
2016	금천구	독산3동	2,190	8,267	3.77	11.92
2016	금천구	독산4동	1,011	3,674	3.63	12.56
2016	금천구	시흥1동	2,986	13,912	4.66	13.53
2016	금천구	시흥2동	576	2,005	3.48	9.2
2016	금천구	시흥3동	3,340	10,610	3.18	6.41
2016	금천구	시흥4동	859	1,938	2.26	10.36
2016	금천구	시흥5동	1,173	3,445	2.94	10.06
2016	영등포구	계	43,678	366,625	8.39	11.02
2016	영등포구	여의동	7,966	152,605	19.16	13.21
2016	영등포구	당산1동	3,183	18,621	5.85	11.72
2016	영등포구	당산2동	2,306	21,446	9.3	13.23
2016	영등포구	양평1동	3,246	23,475	7.23	5.7
2016	영등포구	양평2동	2,154	19,830	9.21	11.51
2016	영등포구	신길1동	1,176	6,721	5.72	8.16
2016	영등포구	신길3동	985	2,745	2.79	9.44
2016	영등포구	신길4동	491	1,691	3.44	8.76
2016	영등포구	신길5동	655	3,031	4.63	9.77
2016	영등포구	신길6동	1,277	4,697	3.68	9.48
2016	영등포구	신길7동	533	2,676	5.02	14.07
2016	영등포구	대림1동	1,128	4,251	3.77	9.57
2016	영등포구	대림2동	1,390	4,513	3.25	15.76
2016	영등포구	대림3동	2,807	11,203	3.99	10.01
2016	영등포구	영등포본동	1,470	5,715	3.89	14.63
2016	영등포구	영등포동	6,524	39,392	6.04	10.91
2016	영등포구	도림동	984	3,334	3.39	8.64
2016	영등포구	문래동	5,403	40,679	7.53	9.98
2016	동작구	계	19,747	108,058	5.47	12.42
2016	동작구	노량진2동	1,554	6,340	4.08	12.29
2016	동작구	상도1동	1,704	8,381	4.92	11.03
2016	동작구	상도2동	1,287	4,543	3.53	13.68
2016	동작구	상도3동	946	2,683	2.84	12.37
2016	동작구	상도4동	983	2,910	2.96	10.48
2016	동작구	사당1동	1,845	9,566	5.18	13.88
2016	동작구	사당3동	1,005	4,316	4.29	10.65
2016	동작구	사당4동	684	1,738	2.54	11.26
2016	동작구	사당5동	506	1,709	3.38	11.26
2016	동작구	대방동	1,660	12,152	7.32	12.47
2016	동작구	신대방1동	1,060	4,364	4.12	12.92
2016	동작구	신대방2동	1,219	24,086	19.76	12.47
2016	동작구	흑석동	1,495	10,142	6.78	11.77
2016	동작구	노량진1동	2,148	9,310	4.33	12.15
2016	동작구	사당2동	1,651	5,818	3.52	15.02
2016	관악구	계	26,377	113,781	4.31	11.76
2016	관악구	보라매동	1,397	6,434	4.61	11.38
2016	관악구	청림동	443	1,185	2.67	9.26
2016	관악구	행운동	1,464	6,151	4.2	14.82
2016	관악구	낙성대동	1,265	7,741	6.12	16.44
2016	관악구	중앙동	1,086	5,076	4.67	13.44
2016	관악구	인헌동	1,047	4,006	3.83	8.98
2016	관악구	남현동	874	5,163	5.91	9.73
2016	관악구	서원동	1,296	7,974	6.15	13.66
2016	관악구	신원동	851	2,453	2.88	13.4
2016	관악구	서림동	1,316	3,296	2.5	7.52
2016	관악구	신사동	1,422	4,712	3.31	11.67
2016	관악구	신림동	1,623	5,671	3.49	15.65
2016	관악구	난향동	420	1,926	4.59	9.29
2016	관악구	조원동	2,184	7,073	3.24	10.71
2016	관악구	대학동	1,701	12,609	7.41	14.11
2016	관악구	은천동	1,596	7,330	4.59	9.77
2016	관악구	성현동	880	2,964	3.37	10.34
2016	관악구	청룡동	1,866	11,207	6.01	12.75
2016	관악구	난곡동	959	2,411	2.51	10.53
2016	관악구	삼성동	1,062	2,372	2.23	6.59
2016	관악구	미성동	1,625	6,027	3.71	10.58
2016	서초구	계	46,404	427,227	9.21	12.79
2016	서초구	서초1동	3,626	29,810	8.22	12.47
2016	서초구	서초2동	4,406	48,060	10.91	14.55
2016	서초구	서초3동	7,466	74,335	9.96	14.26
2016	서초구	서초4동	2,916	27,163	9.32	15.33
2016	서초구	잠원동	2,273	16,956	7.46	12.19
2016	서초구	반포본동	677	2,727	4.03	13
2016	서초구	반포1동	1,517	8,836	5.82	14.83
2016	서초구	반포2동	452	2,841	6.29	10.4
2016	서초구	반포3동	922	7,073	7.67	13.45
2016	서초구	반포4동	3,594	32,423	9.02	11.77
2016	서초구	방배본동	1,670	10,580	6.34	13.59
2016	서초구	방배1동	1,767	14,930	8.45	12.85
2016	서초구	방배2동	1,957	17,422	8.9	11.65
2016	서초구	방배3동	1,222	13,934	11.4	10.88
2016	서초구	방배4동	2,384	14,073	5.9	10.99
2016	서초구	양재1동	3,631	46,647	12.85	11.73
2016	서초구	양재2동	5,257	50,006	9.51	10.54
2016	서초구	내곡동	667	9,411	14.11	13.34
2016	강남구	계	72,281	689,623	9.54	16.1
2016	강남구	신사동	4,503	27,741	6.16	15.94
2016	강남구	논현1동	5,788	44,157	7.63	17.78
2016	강남구	논현2동	5,656	60,642	10.72	17.57
