기간	자치구	동	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황	장애등급별 장애인현황
기간	자치구	동	합계	합계	합계	1급	1급	1급	2급	2급	2급	3급	3급	3급	4급	4급	4급	5급	5급	5급	6급	6급	6급
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2012	중랑구	신내2동	1,465	842	623	173	114	59	265	149	116	275	170	105	212	111	101	256	140	116	284	158	126
2012	중랑구	면목본동	1,794	1,053	741	100	57	43	215	136	79	292	174	118	307	173	134	380	193	187	500	320	180
2012	중랑구	면목3.8동	1,357	793	564	88	52	36	181	106	75	206	122	84	226	129	97	285	141	144	371	243	128
2012	중랑구	망우본동	1,826	1,069	757	127	80	47	221	115	106	271	182	89	288	156	132	440	229	211	479	307	172
2012	성북구	소계	19,507	11,187	8,320	1,537	885	652	2,476	1,422	1,054	3,035	1,910	1,125	3,084	1,484	1,600	4,287	2,180	2,107	5,088	3,306	1,782
2012	성북구	돈암1동	629	349	280	47	28	19	71	46	25	104	58	46	123	55	68	127	58	69	157	104	53
2012	성북구	돈암2동	654	374	280	62	39	23	98	53	45	90	56	34	91	41	50	142	74	68	171	111	60
2012	성북구	안암동	681	390	291	101	60	41	96	53	43	108	72	36	100	46	54	123	66	57	153	93	60
2012	성북구	보문동	623	339	284	38	20	18	64	40	24	121	88	33	95	39	56	141	47	94	164	105	59
2012	성북구	정릉1동	744	405	339	65	33	32	94	55	39	121	79	42	108	39	69	164	80	84	192	119	73
2012	성북구	정릉2동	940	523	417	71	33	38	137	78	59	133	86	47	144	66	78	223	113	110	232	147	85
2012	성북구	정릉3동	844	492	352	48	25	23	100	62	38	134	87	47	150	71	79	188	102	86	224	145	79
2012	성북구	정릉4동	1,022	586	436	92	49	43	152	82	70	153	93	60	143	73	70	239	133	106	243	156	87
2012	성북구	길음1동	1,104	602	502	111	60	51	125	57	68	162	106	56	191	86	105	242	123	119	273	170	103
2012	성북구	길음2동	994	566	428	66	34	32	100	61	39	150	93	57	156	77	79	243	124	119	279	177	102
2012	성북구	월곡1동	1,295	719	576	88	45	43	164	98	66	202	107	95	209	103	106	286	142	144	346	224	122
2012	성북구	월곡2동	987	567	420	76	43	33	113	63	50	158	99	59	146	69	77	234	118	116	260	175	85
2012	성북구	장위1동	1,175	670	505	55	39	16	152	83	69	186	107	79	175	97	78	279	131	148	328	213	115
2012	성북구	장위2동	1,036	631	405	77	59	18	133	79	54	151	99	52	176	97	79	231	127	104	268	170	98
2012	성북구	장위3동	946	577	369	84	51	33	130	74	56	149	93	56	131	68	63	183	101	82	269	190	79
2012	성북구	성북동	683	392	291	62	40	22	80	44	36	107	73	34	107	46	61	131	66	65	196	123	73
2012	성북구	삼선동	1,095	631	464	97	63	34	165	98	67	187	112	75	163	76	87	230	115	115	253	167	86
2012	성북구	동선동	623	351	272	75	44	31	67	38	29	82	54	28	112	51	61	132	64	68	155	100	55
2012	성북구	종암동	1,639	931	708	98	45	53	219	135	84	268	165	103	270	131	139	370	191	179	414	264	150
2012	성북구	석관동	1,793	1,092	701	124	75	49	216	123	93	269	183	86	294	153	141	379	205	174	511	353	158
2012	강북구	소계	17,641	10,150	7,491	1,531	896	635	2,427	1,427	1,000	2,860	1,759	1,101	2,713	1,357	1,356	3,635	1,899	1,736	4,475	2,812	1,663
2012	강북구	번1동	944	552	392	63	32	31	106	60	46	158	95	63	141	80	61	199	106	93	277	179	98
2012	강북구	번2동	1,355	784	571	135	73	62	248	152	96	222	133	89	205	116	89	258	134	124	287	176	111
2012	강북구	번3동	2,042	1,162	880	256	149	107	386	235	151	443	266	177	287	143	144	330	177	153	340	192	148
2012	강북구	수유1동	1,181	662	519	153	86	67	126	71	55	176	106	70	175	82	93	235	119	116	316	198	118
2012	강북구	수유2동	1,069	614	455	79	56	23	138	81	57	183	108	75	179	91	88	236	118	118	254	160	94
2012	강북구	수유3동	1,143	673	470	86	55	31	153	94	59	177	121	56	185	96	89	224	114	110	318	193	125
2012	강북구	삼양동	1,641	948	693	123	70	53	202	113	89	236	145	91	257	134	123	383	203	180	440	283	157
2012	강북구	미아동	1,118	656	462	79	46	33	151	92	59	141	93	48	166	73	93	256	147	109	325	205	120
2012	강북구	송중동	1,598	955	643	97	57	40	207	120	87	248	165	83	251	138	113	340	172	168	455	303	152
2012	강북구	송천동	1,662	980	682	94	59	35	220	138	82	246	163	83	281	128	153	368	194	174	453	298	155
