기간	자치구	동	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급	장애등급
기간	자치구	동	합계	합계	합계	1급	1급	1급	2급	2급	2급	3급	3급	3급	4급	4급	4급	5급	5급	5급	6급	6급	6급
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2016	중랑구	상봉1동	1,420	826	594	139	85	54	236	152	84	285	158	127	210	100	110	243	134	109	307	197	110
2016	중랑구	상봉2동	861	494	367	54	38	16	79	49	30	132	86	46	131	59	72	210	101	109	255	161	94
2016	중랑구	중화1동	861	512	349	51	35	16	106	69	37	155	99	56	149	76	73	162	87	75	238	146	92
2016	중랑구	중화2동	1,510	865	645	86	50	36	168	96	72	248	145	103	233	120	113	324	179	145	451	275	176
2016	중랑구	묵1동	1,337	776	561	92	59	33	158	86	72	210	135	75	198	105	93	298	151	147	381	240	141
2016	중랑구	묵2동	869	518	351	49	29	20	98	63	35	139	92	47	144	65	79	183	104	79	256	165	91
2016	중랑구	망우3동	957	566	391	75	38	37	108	63	45	169	97	72	146	81	65	202	101	101	257	186	71
2016	중랑구	신내1동	1,892	1,037	855	195	117	78	242	129	113	298	168	130	256	117	139	410	208	202	491	298	193
2016	중랑구	신내2동	1,421	799	622	163	99	64	281	161	120	277	162	115	184	100	84	234	128	106	282	149	133
2016	중랑구	면목본동	1,646	966	680	112	74	38	174	103	71	246	153	93	285	161	124	360	176	184	469	299	170
2016	중랑구	면목3.8동	1,272	757	515	68	41	27	167	98	69	226	143	83	201	113	88	260	134	126	350	228	122
2016	중랑구	망우본동	1,722	994	728	116	76	40	205	112	93	252	158	94	283	155	128	376	187	189	490	306	184
2016	성북구	소계	17,755	10,159	7,596	1,387	807	580	2,181	1,289	892	2,744	1,675	1,069	2,744	1,303	1,441	3,917	2,038	1,879	4,782	3,047	1,735
2016	성북구	돈암1동	637	344	293	46	28	18	75	40	35	101	54	47	120	51	69	139	72	67	156	99	57
2016	성북구	돈암2동	652	389	263	49	30	19	94	56	38	100	64	36	90	47	43	145	84	61	174	108	66
2016	성북구	안암동	618	370	248	86	56	30	87	47	40	94	62	32	73	38	35	125	72	53	153	95	58
2016	성북구	보문동	605	340	265	39	22	17	57	37	20	113	77	36	95	38	57	137	60	77	164	106	58
2016	성북구	정릉1동	690	390	300	52	30	22	79	52	27	107	69	38	109	47	62	165	83	82	178	109	69
2016	성북구	정릉2동	970	522	448	65	34	31	135	78	57	150	85	65	156	66	90	213	107	106	251	152	99
2016	성북구	정릉3동	773	446	327	43	23	20	90	54	36	122	86	36	134	62	72	173	86	87	211	135	76
2016	성북구	정릉4동	1,046	608	438	90	51	39	131	79	52	154	87	67	161	87	74	238	126	112	272	178	94
2016	성북구	길음1동	1,057	577	480	117	67	50	119	63	56	154	98	56	170	70	100	238	118	120	259	161	98
2016	성북구	길음2동	532	295	237	41	23	18	51	34	17	93	47	46	82	31	51	114	59	55	151	101	50
2016	성북구	월곡1동	1,184	668	516	90	47	43	147	101	46	189	97	92	180	96	84	252	124	128	326	203	123
2016	성북구	월곡2동	930	550	380	58	32	26	111	57	54	149	92	57	140	73	67	219	125	94	253	171	82
2016	성북구	장위1동	1,032	592	440	45	27	18	128	79	49	154	89	65	148	81	67	232	112	120	325	204	121
2016	성북구	장위2동	998	610	388	67	47	20	128	79	49	159	107	52	162	90	72	218	120	98	264	167	97
2016	성북구	장위3동	688	414	274	60	36	24	95	53	42	100	64	36	97	53	44	130	76	54	206	132	74
2016	성북구	성북동	597	344	253	59	33	26	76	46	30	88	56	32	85	37	48	127	70	57	162	102	60
2016	성북구	삼선동	981	552	429	79	52	27	131	78	53	173	104	69	157	73	84	198	96	102	243	149	94
2016	성북구	동선동	553	317	236	81	49	32	51	30	21	67	47	20	88	41	47	120	55	65	146	95	51
2016	성북구	종암동	1,572	885	687	105	59	46	201	116	85	258	148	110	243	106	137	359	186	173	406	270	136
2016	성북구	석관동	1,640	946	694	115	61	54	195	110	85	219	142	77	254	116	138	375	207	168	482	310	172
2016	강북구	소계	17,338	9,913	7,425	1,493	867	626	2,396	1,414	982	2,822	1,711	1,111	2,611	1,329	1,282	3,606	1,879	1,727	4,410	2,713	1,697
2016	강북구	번1동	914	544	370	61	33	28	89	60	29	145	84	61	131	69	62	200	108	92	288	190	98
2016	강북구	번2동	1,394	790	604	128	71	57	251	147	104	236	137	99	204	116	88	279	146	133	296	173	123
2016	강북구	번3동	2,010	1,136	874	247	146	101	380	224	156	455	280	175	268	129	139	323	169	154	337	188	149
2016	강북구	수유1동	1,296	763	533	183	114	69	166	110	56	183	109	74	196	97	99	238	128	110	330	205	125
2016	강북구	수유2동	1,029	576	453	79	46	33	147	85	62	190	112	78	150	79	71	214	107	107	249	147	102
2016	강북구	수유3동	1,113	653	460	78	49	29	135	84	51	173	115	58	166	83	83	228	117	111	333	205	128
2016	강북구	삼양동	1,529	884	645	109	66	43	170	100	70	230	145	85	242	126	116	354	176	178	424	271	153
2016	강북구	미아동	1,138	652	486	82	42	40	154	84	70	168	104	64	173	83	90	243	144	99	318	195	123
2016	강북구	송중동	1,402	815	587	90	47	43	171	104	67	226	151	75	237	130	107	326	159	167	352	224	128
2016	강북구	송천동	1,542	884	658	77	42	35	202	111	91	213	139	74	258	127	131	367	195	172	425	270	155
2016	강북구	삼각산동	1,249	681	568	106	62	44	188	107	81	200	103	97	179	87	92	249	115	134	327	207	120
2016	강북구	우이동	987	559	428	85	50	35	116	68	48	143	76	67	158	72	86	209	124	85	276	169	107
2016	강북구	인수동	1,735	976	759	168	99	69	227	130	97	260	156	104	249	131	118	376	191	185	455	269	186
2016	도봉구	소계	15,015	8,741	6,274	1,282	722	560	1,938	1,116	822	2,433	1,522	911	2,192	1,141	1,051	3,209	1,669	1,540	3,961	2,571	1,390
2016	도봉구	쌍문1동	1,051	617	434	78	43	35	127	70	57	173	115	58	160	82	78	231	117	114	282	190	92
2016	도봉구	쌍문2동	929	532	397	79	44	35	116	66	50	144	91	53	158	74	84	188	106	82	244	151	93
2016	도봉구	쌍문3동	764	438	326	39	22	17	103	64	39	121	73	48	117	62	55	192	87	105	192	130	62
2016	도봉구	쌍문4동	668	377	291	55	32	23	105	65	40	89	51	38	110	50	60	151	77	74	158	102	56
2016	도봉구	방학1동	1,439	878	561	123	74	49	178	105	73	241	156	85	200	106	94	318	179	139	379	258	121
2016	도봉구	방학2동	1,183	688	495	102	61	41	142	84	58	203	118	85	178	100	78	247	127	120	311	198	113
2016	도봉구	방학3동	1,014	585	429	84	48	36	142	73	69	170	98	72	119	55	64	202	102	100	297	209	88
2016	도봉구	창1동	1,032	562	470	88	52	36	130	72	58	167	96	71	172	87	85	209	97	112	266	158	108
2016	도봉구	창2동	1,268	740	528	91	48	43	145	88	57	203	127	76	190	105	85	275	146	129	364	226	138
2016	도봉구	창3동	794	487	307	74	41	33	102	60	42	134	95	39	107	56	51	166	84	82	211	151	60
2016	도봉구	창4동	1,000	553	447	101	51	50	144	71	73	153	97	56	130	69	61	227	109	118	245	156	89
2016	도봉구	창5동	991	568	423	86	48	38	117	74	43	155	99	56	147	69	78	216	107	109	270	171	99
2016	도봉구	도봉1동	1,476	875	601	150	79	71	202	114	88	267	164	103	215	128	87	297	167	130	345	223	122
2016	도봉구	도봉2동	1,406	841	565	132	79	53	185	110	75	213	142	71	189	98	91	290	164	126	397	248	149
2016	노원구	소계	27,430	15,145	12,285	2,940	1,711	1,229	4,340	2,462	1,878	5,006	2,944	2,062	3,741	1,800	1,941	5,187	2,522	2,665	6,216	3,706	2,510
2016	노원구	월계1동	1,008	589	419	77	44	33	122	74	48	158	108	50	152	79	73	227	117	110	272	167	105
2016	노원구	월계2동	2,168	1,210	958	211	116	95	431	264	167	492	289	203	272	134	138	343	161	182	419	246	173
2016	노원구	월계3동	1,976	1,064	912	213	133	80	319	169	150	385	221	164	282	130	152	338	155	183	439	256	183
2016	노원구	공릉2동	1,438	792	646	113	73	40	187	110	77	193	111	82	234	113	121	300	153	147	411	232	179
2016	노원구	하계1동	2,095	1,067	1,028	337	182	155	405	217	188	458	248	210	266	108	158	299	132	167	330	180	150
2016	노원구	하계2동	1,021	557	464	124	59	65	162	88	74	185	118	67	132	54	78	188	89	99	230	149	81
2016	노원구	중계본동	895	500	395	110	64	46	116	64	52	138	86	52	103	56	47	220	108	112	208	122	86
2016	노원구	중계1동	792	440	352	77	44	33	115	63	52	127	74	53	118	58	60	148	75	73	207	126	81
2016	노원구	중계4동	1,399	771	628	119	64	55	269	164	105	307	194	113	185	93	92	263	122	141	256	134	122
