기간	자치구	동	시설합계	노인복지관	노인복지관	경로당	노인교실
기간	자치구	동	시설합계	시설수	종사자수	경로당	노인교실
2016	강서구	화곡1동	10	1	4	7	2
2016	강서구	우장산동	9	-	-	8	1
2016	구로구	소계	210	2	43	189	19
2016	구로구	신도림동	19	-	-	19	-
2016	구로구	구로1동	15	-	-	13	2
2016	구로구	구로3동	11	-	-	10	1
2016	구로구	구로4동	12	-	-	10	2
2016	구로구	구로5동	17	1	31	16	-
2016	구로구	고척1동	19	-	-	18	1
2016	구로구	고척2동	15	-	-	12	3
2016	구로구	개봉2동	13	-	-	12	1
2016	구로구	개봉3동	7	-	-	5	2
2016	구로구	오류1동	13	-	-	11	2
2016	구로구	오류2동	25	-	-	24	1
2016	구로구	수궁동	12	1	12	10	1
2016	구로구	가리봉동	4	-	-	3	1
2016	구로구	구로2동	15	-	-	14	1
2016	구로구	개봉1동	13	-	-	12	1
2016	금천구	소계	80	3	61	71	6
2016	금천구	가산동	7	-	-	7	-
2016	금천구	독산1동	20	1	7	18	1
2016	금천구	독산2동	3	-	-	2	1
2016	금천구	독산3동	7	-	-	7	-
2016	금천구	독산4동	6	1	21	4	1
2016	금천구	시흥1동	10	1	33	9	-
2016	금천구	시흥2동	10	-	-	9	1
2016	금천구	시흥3동	4	-	-	4	-
2016	금천구	시흥4동	6	-	-	5	1
2016	금천구	시흥5동	7	-	-	6	1
2016	영등포구	소계	202	2	46	173	27
2016	영등포구	여의동	…	-	-	…	…
2016	영등포구	당산1동	…	-	-	…	…
2016	영등포구	당산2동	…	-	-	…	…
2016	영등포구	양평1동	…	-	-	…	…
2016	영등포구	양평2동	…	-	-	…	…
2016	영등포구	신길1동	…	-	-	…	…
2016	영등포구	신길3동	…	-	-	…	…
2016	영등포구	신길4동	…	-	-	…	…
2016	영등포구	신길5동	…	-	-	…	…
2016	영등포구	신길6동	…	-	-	…	…
2016	영등포구	신길7동	…	-	-	…	…
2016	영등포구	대림1동	…	-	-	…	…
2016	영등포구	대림2동	…	-	-	…	…
2016	영등포구	대림3동	…	-	-	…	…
2016	영등포구	영등포본동	…	1	8	…	…
2016	영등포구	영등포동	…	-	-	…	…
2016	영등포구	도림동	…	-	-	…	…
2016	영등포구	문래동	…	1	38	…	…
2016	동작구	소계	148	2	50	135	11
2016	동작구	노량진2동	2	-	-	2	-
2016	동작구	상도1동	19	-	-	16	3
2016	동작구	상도2동	12	-	-	10	2
2016	동작구	상도3동	5	-	-	5	-
2016	동작구	상도4동	6	-	-	6	-
2016	동작구	사당1동	4	1	26	3	-
2016	동작구	사당3동	10	-	-	10	-
2016	동작구	사당4동	6	-	-	6	-
2016	동작구	사당5동	6	-	-	5	1
2016	동작구	대방동	16	1	24	15	-
2016	동작구	신대방1동	11	-	-	10	1
2016	동작구	신대방2동	7	-	-	5	2
2016	동작구	흑석동	14	-	-	13	1
2016	동작구	노량진1동	18	-	-	18	-
2016	동작구	사당2동	12	-	-	11	1
2016	관악구	소계	144	1	31	124	19
2016	관악구	보라매동	…	1	31	…	…
2016	관악구	청림동	…	-	-	…	…
2016	관악구	행운동	…	-	-	…	…
2016	관악구	낙성대동	…	-	-	…	…
2016	관악구	중앙동	…	-	-	…	…
2016	관악구	인헌동	…	-	-	…	…
2016	관악구	남현동	…	-	-	…	…
