,읍면동명,자치구,소득(동별),인구밀도,사업체수,장애등급,독거노인수,노령화지수,새누리당,더민주
149,중계1동,노원구,276017.0437972025,45002,1000,778,474,44.1,4326.2,6485.5
150,중계2.3동,노원구,363826.3875116009,41984,1361,3240,1965,158.4,5381.4,7508.0
151,중계4동,노원구,210601.2397259132,12848,1049,1554,935,149.7,4217.7,4728.7
152,상계6.7동,노원구,341530.8931383827,31964,1958,1273,1045,92.5,5341.2,7249.5
153,쌍문1동,도봉구,187971.40745392395,18087,890,1096,796,184.9,3677.7,3702.2
154,쌍문3동,도봉구,144558.08922848155,34812,971,814,615,215.5,2222.0,3967.5
155,창1동,도봉구,220596.0613577256,30369,1413,1046,828,131.6,4819.6,5515.1
156,창2동,도봉구,256349.67823184052,29300,1356,1314,822,134.0,4342.1,5317.1
157,창3동,도봉구,124516.03841596712,22612,929,793,642,179.9,2999.7,3937.9
158,창4동,도봉구,233912.9277593796,29650,1277,1000,725,107.8,4201.9,6561.5
159,창5동,도봉구,215823.3498403408,37184,2133,1002,649,140.1,4178.3,4683.2
160,쌍문2동,도봉구,167987.76395018867,38111,1242,947,781,180.7,3412.5,3504.9
161,쌍문4동,도봉구,166427.45441565904,38658,616,704,431,109.6,2821.7,3589.5
162,방학1동,도봉구,253187.3396565105,44294,2266,1449,1065,174.8,4986.6,5278.0
163,방학2동,도봉구,177458.09187367075,29254,1207,1234,1009,207.2,3633.9,3171.7
164,방학3동,도봉구,240688.1755777649,11112,872,1010,655,112.6,4681.9,5163.5
165,도봉1동,도봉구,187162.04903226948,2619,1714,1477,1202,304.4,5214.6,2871.1
166,도봉2동,도봉구,240212.5732062773,34973,1465,1487,1108,205.2,5663.9,4852.2
167,용신동,동대문구,633040.307400922,19852,5640,1442,1735,231.4,5165.3,6062.2
168,제기동,동대문구,545346.6683343459,23369,4750,1329,1747,279.8,4720.1,5446.6
169,청량리동,동대문구,434915.44830790133,18773,1679,1374,1603,304.3,4751.1,4805.3
170,회기동,동대문구,263238.8170675053,16932,997,313,416,165.4,2035.5,1971.1
171,휘경1동,동대문구,326398.76417825103,23259,977,601,570,247.9,2343.1,2296.3
172,휘경2동,동대문구,496910.8838937928,23950,1210,901,748,140.4,3798.5,4383.1
173,이문1동,동대문구,446501.35110602865,25904,1477,1059,1239,214.4,4174.3,4929.8
174,이문2동,동대문구,419875.48590215493,31890,705,1030,773,139.8,3838.2,4885.9
175,전농1동,동대문구,613756.7860486724,26040,2199,1526,1774,173.1,5261.4,6921.9
176,전농2동,동대문구,401480.1513061503,23664,894,891,673,142.5,3463.2,4585.7
177,답십리1동,동대문구,590920.5176714434,36410,1961,1045,887,94.3,4310.5,6305.0
178,답십리2동,동대문구,600789.2594074975,34082,2186,1408,1134,170.6,4762.0,6202.4
179,장안1동,동대문구,776689.7121109245,31370,4572,1653,1132,133.1,5837.1,7521.6
180,장안2동,동대문구,630217.8472644106,29036,3164,1266,924,101.2,5270.6,7286.8
