,자치구,읍면동명,종사자수
410,강동구,고덕1동,"1,993"
411,강동구,고덕2동,"3,245"
412,강동구,암사2동,"5,139"
413,강동구,암사3동,"2,009"
414,강동구,천호1동,"5,643"
415,강동구,천호3동,"7,584"
416,강동구,성내1동,"18,175"
417,강동구,성내2동,"7,625"
418,강동구,성내3동,"9,455"
419,강동구,둔촌1동,"1,371"
420,강동구,둔촌2동,"9,468"
421,강동구,암사1동,"5,510"
422,강동구,천호2동,"14,190"
423,강동구,길동,"18,681"
