year,읍면동명,인구,면적,인구밀도
2012,구로4동,30490,0.46,66283
2012,구로5동,35276,1.03,34249
2012,고척1동,25668,1.16,22128
2012,고척2동,31570,1.02,30951
2012,개봉2동,35133,0.8,43916
2012,개봉3동,22565,0.81,27858
2012,오류1동,21578,0.59,36573
2012,오류2동,40874,4.6,8886
2012,수궁동,25979,2.67,9730
2012,가리봉동,20359,0.4,50898
2012,구로2동,39579,1.76,22488
2012,개봉1동,34759,1.31,26534
2012,가산동,23901,2.5,9560
2012,독산1동,35601,2.08,17116
2012,독산2동,24050,0.61,39426
2012,독산3동,31752,0.92,34513
2012,독산4동,20371,0.59,34527
2012,시흥1동,38386,1.71,22448
2012,시흥2동,25237,1.26,20029
2012,시흥3동,12821,1.07,11982
2012,시흥4동,24511,0.87,28174
2012,시흥5동,24104,1.39,17341
2012,여의동,34364,8.4,4091
2012,당산1동,21246,0.75,28328
2012,당산2동,34437,1.55,22217
2012,양평1동,17656,0.88,20064
2012,양평2동,22514,3.0,7505
2012,신길1동,23813,0.66,36080
2012,신길3동,17786,0.48,37054
2012,신길4동,13946,0.35,39846
2012,신길5동,19728,0.47,41974
2012,신길6동,24791,0.68,36457
2012,신길7동,15864,0.64,24788
2012,대림1동,19998,0.49,40812
2012,대림2동,25417,0.55,46213
2012,대림3동,31881,1.0,31881
2012,영등포본동,28024,1.02,27475
2012,영등포동,20801,1.26,16509
2012,도림동,21841,0.89,24540
2012,문래동,32758,1.49,21985
2012,노량진2동,16697,0.65,25688
2012,상도1동,43787,1.51,28998
2012,상도2동,26232,0.97,27043
2012,상도3동,24985,0.6,41642
2012,상도4동,30065,0.75,40087
2012,사당1동,24361,0.79,30837
2012,사당3동,26396,0.92,28691
2012,사당4동,15380,0.38,40474
2012,사당5동,15612,0.57,27389
2012,대방동,40795,1.55,26319
2012,신대방1동,28931,0.62,46663
2012,신대방2동,21431,1.03,20807
2012,흑석동,36533,1.68,21746
2012,노량진1동,35008,1.58,22157
2012,사당2동,30050,2.75,10927
2012,보라매동,28345,0.78,36340
2012,청림동,17288,0.79,21884
2012,행운동,30334,0.68,44609
2012,낙성대동,18327,0.39,46992
2012,중앙동,15279,0.32,47747
2012,인헌동,28769,0.69,41694
2012,남현동,18368,1.18,15566
2012,서원동,24274,1.8,13486
2012,신원동,20484,1.53,13388
2012,서림동,24916,3.27,7620
2012,신사동,26716,0.54,49474
2012,신림동,23553,0.64,36802
2012,난향동,17899,0.67,26715
2012,조원동,19744,1.35,14625
2012,대학동,24078,0.98,24569
2012,은천동,37105,0.82,45250
2012,성현동,35003,0.65,53851
2012,청룡동,34411,0.54,63724
2012,난곡동,31240,0.98,31878
2012,삼성동,29711,3.05,9741
2012,미성동,34676,7.92,4378
2012,서초1동,21884,1.42,15411
2012,서초2동,23783,1.24,19180
2012,서초3동,31219,2.93,10655
2012,서초4동,30880,0.88,35091
2012,잠원동,35984,1.76,20445
2012,반포본동,13664,1.01,13529
2012,반포1동,34318,1.0,34318
2012,반포2동,21970,1.35,16274
