,읍면동명,자치구,선거인수,새누리당,민주통합당,통합진보당
7,면목본동,중랑구,"30,294","3,478","6,225",
15,면목제2동,중랑구,"22,750","2,695","4,577",
21,면목제3·8동,중랑구,"24,415","2,735","5,191",
29,면목제4동,중랑구,"18,766","2,283","3,880",
35,면목제5동,중랑구,"11,646","1,234","2,542",
39,면목제7동,중랑구,"21,400","2,437","4,537",
45,상봉제2동,중랑구,"15,945","2,236","3,190",
50,망우제3동,중랑구,"15,720","2,007","3,004",
7,상봉제1동,중랑구,"19,779","4,512","4,858",
12,중화제1동,중랑구,"17,247","3,902","4,338",
17,중화제2동,중랑구,"26,137","4,909","5,468",
25,묵제1동,중랑구,"28,508","6,999","6,981",
33,묵제2동,중랑구,"16,465","3,577","3,795",
38,망우본동,중랑구,"27,857","6,801","5,666",
46,신내제1동,중랑구,"24,872","6,547","6,560",
54,신내제2동,중랑구,"19,575","4,821","5,452",
