자치구,행정동,인구,소득(구별),인구비,소득(동별)
동대문구,답십리2동,"30,439","7,180,082",0.097783417,702092.9551
동대문구,장안1동,"39,351","7,180,082",0.12641267,907653.3354
동대문구,장안2동,"31,930","7,180,082",0.102573163,736483.7234
동대문구,이문1동,"22,622","7,180,082",0.072671785,521789.3765
동대문구,이문2동,"21,273","7,180,082",0.068338206,490673.9195
중랑구,소계,"403,776","4,013,154",1,4013154
중랑구,면목2동,"26,156","4,013,154",0.064778491,259966.0604
중랑구,면목4동,"20,237","4,013,154",0.050119373,201136.7627
중랑구,면목5동,"9,876","4,013,154",0.024459106,98158.15924
중랑구,면목7동,"21,913","4,013,154",0.054270189,217794.6277
중랑구,상봉1동,"25,629","4,013,154",0.063473312,254728.1757
중랑구,상봉2동,"19,728","4,013,154",0.048858773,196077.781
중랑구,중화1동,"21,001","4,013,154",0.052011511,208730.2048
중랑구,중화2동,"27,994","4,013,154",0.06933052,278234.0532
중랑구,묵1동,"36,063","4,013,154",0.089314372,358432.3306
중랑구,묵2동,"20,094","4,013,154",0.049765216,199715.4771
중랑구,망우3동,"18,025","4,013,154",0.044641088,179151.5614
중랑구,신내1동,"40,738","4,013,154",0.100892574,404897.4373
중랑구,신내2동,"22,095","4,013,154",0.054720934,219603.5367
중랑구,면목본동,"36,247","4,013,154",0.089770071,360261.1176
중랑구,면목3.8동,"26,729","4,013,154",0.066197595,265661.142
중랑구,망우본동,"31,251","4,013,154",0.077396874,310605.5725
성북구,소계,"454,114","5,217,211",1,5217211
성북구,돈암1동,"16,048","5,217,211",0.035339144,184371.7704
성북구,돈암2동,"25,076","5,217,211",0.055219614,288092.38
성북구,안암동,"17,877","5,217,211",0.039366767,205384.7295
성북구,보문동,"16,839","5,217,211",0.037080997,193459.3869
성북구,정릉1동,"19,484","5,217,211",0.042905526,223847.1818
성북구,정릉2동,"23,974","5,217,211",0.052792911,275431.7562
성북구,정릉3동,"17,388","5,217,211",0.038289945,199766.7213
성북구,정릉4동,"26,898","5,217,211",0.059231823,309024.9177
성북구,길음1동,"37,263","5,217,211",0.082056488,428106.0119
성북구,길음2동,"16,545","5,217,211",0.036433583,190081.6887
성북구,월곡1동,"27,698","5,217,211",0.060993495,318215.9332
성북구,월곡2동,"20,571","5,217,211",0.045299198,236335.4741
성북구,장위1동,"20,857","5,217,211",0.045928996,239621.2621
성북구,장위2동,"14,207","5,217,211",0.031285096,163220.946
성북구,장위3동,"13,710","5,217,211",0.030190657,157511.0276
성북구,성북동,"17,671","5,217,211",0.038913136,203018.043
성북구,삼선동,"26,599","5,217,211",0.058573398,305589.7757
성북구,동선동,"16,460","5,217,211",0.036246405,189105.1433
성북구,종암동,"42,391","5,217,211",0.093348807,487020.4211
성북구,석관동,"36,558","5,217,211",0.080504014,420006.4295
강북구,소계,"317,875","2,830,150",1,2830150
강북구,번1동,"19,815","2,830,150",0.062335824,176419.7318
강북구,번2동,"17,307","2,830,150",0.05444593,154090.1488
강북구,번3동,"18,506","2,830,150",0.058217853,164765.2565
강북구,수유1동,"21,961","2,830,150",0.069086905,195526.3048
강북구,수유2동,"22,021","2,830,150",0.069275659,196060.5054
강북구,수유3동,"24,277","2,830,150",0.076372788,216146.4461
강북구,삼양동,"25,776","2,830,150",0.081088478,229492.5565
강북구,미아동,"22,987","2,830,150",0.072314589,204661.1343
강북구,송중동,"29,000","2,830,150",0.09123083,258196.9328
강북구,송천동,"28,911","2,830,150",0.090950845,257404.5353
강북구,삼각산동,"33,100","2,830,150",0.104128982,294700.637
강북구,우이동,"21,401","2,830,150",0.067325206,190540.433
강북구,인수동,"32,813","2,830,150",0.103226111,292145.3777
도봉구,소계,"337,594","2,816,851",1,2816851
도봉구,쌍문1동,"22,528","2,816,851",0.066731044,187971.4075
도봉구,쌍문2동,"20,133","2,816,851",0.059636723,167987.764
도봉구,쌍문3동,"17,325","2,816,851",0.05131904,144558.0892
도봉구,쌍문4동,"19,946","2,816,851",0.059082804,166427.4544
도봉구,방학1동,"30,344","2,816,851",0.089883114,253187.3397
도봉구,방학2동,"21,268","2,816,851",0.06299875,177458.0919
도봉구,방학3동,"28,846","2,816,851",0.085445831,240688.1756
도봉구,창1동,"26,438","2,816,851",0.078313003,220596.0614
도봉구,창2동,"30,723","2,816,851",0.091005764,256349.6782
도봉구,창3동,"14,923","2,816,851",0.044203985,124516.0384
도봉구,창4동,"28,034","2,816,851",0.083040575,233912.9278
도봉구,창5동,"25,866","2,816,851",0.07661866,215823.3498
도봉구,도봉1동,"22,431","2,816,851",0.066443716,187162.049
도봉구,도봉2동,"28,789","2,816,851",0.08527699,240212.5732
노원구,소계,"539,829","5,292,768",1,5292768
노원구,월계1동,"24,044","5,292,768",0.04454003,235740.0469
노원구,월계2동,"26,209","5,292,768",0.04855056,256966.8479
노원구,월계3동,"31,904","5,292,768",0.059100197,312803.6291
노원구,공릉2동,"41,184","5,292,768",0.076290825,403789.6395
노원구,하계1동,"29,814","5,292,768",0.0552286,292312.1677
노원구,하계2동,"23,492","5,292,768",0.043517484,230327.948
노원구,중계본동,"26,161","5,292,768",0.048461642,256496.2306
노원구,중계1동,"28,152","5,292,768",0.052149847,276017.0438
노원구,중계4동,"21,480","5,292,768",0.039790378,210601.2397
노원구,상계1동,"40,359","5,292,768",0.074762564,395700.9048
노원구,상계2동,"21,358","5,292,768",0.039564381,209405.0874
노원구,상계5동,"25,704","5,292,768",0.047615078,252015.5617
노원구,상계8동,"24,086","5,292,768",0.044617833,236151.8371
노원구,상계9동,"22,002","5,292,768",0.040757351,215719.2028
노원구,상계10동,"16,736","5,292,768",0.03100241,164088.5637
노원구,상계3.4동,"25,946","5,292,768",0.048063368,254388.2573
노원구,상계6.7동,"34,834","5,292,768",0.064527841,341530.8931
노원구,중계2.3동,"37,108","5,292,768",0.068740286,363826.3875
노원구,공릉1동,"39,256","5,292,768",0.072719324,384886.5115
은평구,소계,"486,159","3,929,828",1,3929828
은평구,녹번동,"38,158","3,929,828",0.078488725,308447.1887
은평구,불광1동,"41,048","3,929,828",0.084433282,331808.2762
은평구,갈현1동,"24,768","3,929,828",0.050946295,200210.178
은평구,갈현2동,"30,235","3,929,828",0.062191588,244402.242
은평구,구산동,"33,843","3,929,828",0.069613028,273567.226
은평구,대조동,"29,784","3,929,828",0.061263907,240756.619
은평구,응암1동,"25,747","3,929,828",0.05296004,208123.8474
은평구,응암2동,"23,882","3,929,828",0.049123846,193048.2667
은평구,신사1동,"28,658","3,929,828",0.058947793,231654.6867
은평구,신사2동,"21,998","3,929,828",0.045248571,177819.101
은평구,증산동,"16,254","3,929,828",0.033433506,131387.9293
은평구,수색동,"9,094","3,929,828",0.018705814,73510.63301
은평구,진관동,"58,038","3,929,828",0.119380696,469145.6035
은평구,불광2동,"29,576","3,929,828",0.060836064,239075.2674
은평구,응암3동,"26,193","3,929,828",0.053877435,211729.0533
은평구,역촌동,"48,883","3,929,828",0.100549409,395141.8818
서대문구,소계,"324,089","7,452,206",1,7452206
서대문구,천연동,"18,803","7,452,206",0.058018014,432362.1888
서대문구,홍제1동,"25,045","7,452,206",0.077278155,575892.7309
서대문구,홍제3동,"16,534","7,452,206",0.05101685,380188.078
서대문구,홍제2동,"14,629","7,452,206",0.045138835,336383.8994
서대문구,홍은1동,"22,758","7,452,206",0.070221452,523304.7223
서대문구,홍은2동,"28,402","7,452,206",0.087636421,653084.6613
서대문구,남가좌1동,"17,029","7,452,206",0.052544209,391570.2661
서대문구,남가좌2동,"25,729","7,452,206",0.079388686,591620.8454
서대문구,북가좌1동,"19,188","7,452,206",0.059205959,441215.0018
서대문구,북가좌2동,"33,955","7,452,206",0.104770603,780772.1173
서대문구,충현동,"18,242","7,452,206",0.056287008,419462.3756
서대문구,북아현동,"17,607","7,452,206",0.054327669,404860.9828
서대문구,신촌동,"24,810","7,452,206",0.076553046,570489.0658
서대문구,연희동,"41,358","7,452,206",0.127613094,950999.0643
마포구,소계,"385,605","16,355,733",1,16355733
마포구,용강동,"22,403","16,355,733",0.058098313,950240.4958
마포구,대흥동,"13,776","16,355,733",0.035725678,584319.6478
마포구,염리동,"13,533","16,355,733",0.035095499,574012.6157
마포구,신수동,"22,514","16,355,733",0.058386172,954948.6463
마포구,서교동,"26,104","16,355,733",0.067696218,1107221.261
마포구,합정동,"19,175","16,355,733",0.049727052,813322.3902
마포구,망원1동,"21,995","16,355,733",0.057040235,932934.8617
마포구,망원2동,"19,270","16,355,733",0.049973418,817351.8884
마포구,연남동,"17,051","16,355,733",0.044218825,723231.2947
마포구,성산1동,"20,288","16,355,733",0.052613426,860531.1422
마포구,성산2동,"41,623","16,355,733",0.107942065,1765471.596
마포구,상암동,"32,976","16,355,733",0.085517563,1398702.432
마포구,도화동,"22,663","16,355,733",0.058772578,961268.596
마포구,서강동,"26,240","16,355,733",0.06804891,1112989.805
마포구,공덕동,"40,603","16,355,733",0.105296871,1722207.51
마포구,아현동,"25,391","16,355,733",0.065847175,1076978.817
양천구,소계,"463,931","6,022,303",1,6022303
