기간	자치구	동	합계	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	식품접객업	집단급식소	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품제조업 및 가공업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	식품 운반·판매·기타업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업	건강기능식품 제조·수입·판매업
기간	자치구	동	합계	소계	휴게음식점	일반음식점	제과점	단란주점	유흥주점	위탁급식영업	집단급식소	소계	식품제조가공업	즉석판매제조가공업	식품첨가물 제조업	소계	식품운반업	식품판매업	식품보존업	용기·포장류제조업	소계	건강기능식품수입업	건강기능식품판매업
2016	중랑구	묵2동	312	251	20	209	5	14	3	-	7	19	2	17	-	15	-	15	-	-	20	…	20
2016	중랑구	망우3동	441	392	28	356	5	2	-	1	13	17	4	13	-	7	-	7	-	-	12	…	12
2016	중랑구	신내1동	386	270	44	215	8	-	-	3	23	28	5	23	-	36	2	34	-	-	29	…	29
2016	중랑구	신내2동	214	143	29	104	8	-	-	2	15	26	2	24	-	14	-	14	-	-	16	…	16
2016	중랑구	면목본동	542	415	43	349	9	13	1	-	12	69	6	63	-	23	1	22	-	-	23	…	23
2016	중랑구	면목3.8동	496	406	54	335	6	6	3	2	17	31	7	24	-	24	-	24	-	-	18	…	18
2016	중랑구	망우본동	510	284	80	167	12	19	2	4	28	96	14	82	-	54	1	53	-	-	48	…	48
2016	중랑구	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	…	-
2016	성북구	계	6,673	5,191	937	3,986	149	70	8	41	264	482	54	428	-	84	-	84	-	-	652	…	652
2016	성북구	돈암1동	103	65	15	47	3	-	-	-	12	11	1	10	-	1	-	1	-	-	14	…	14
2016	성북구	돈암2동	66	31	7	19	4	-	-	1	7	9	-	9	-	6	-	6	-	-	13	…	13
2016	성북구	안암동	586	520	112	384	13	3	-	8	18	4	1	3	-	-	-	-	-	-	44	…	44
2016	성북구	보문동	250	198	25	155	5	10	2	1	13	16	1	15	-	3	-	3	-	-	20	…	20
2016	성북구	정릉1동	344	274	45	214	13	1	-	1	13	14	1	13	-	1	-	1	-	-	42	…	42
2016	성북구	정릉2동	167	124	16	104	2	2	-	-	4	14	-	14	-	4	-	4	-	-	21	…	21
2016	성북구	정릉3동	171	128	19	106	2	-	-	1	17	16	3	13	-	-	-	-	-	-	10	…	10
2016	성북구	정릉4동	178	126	15	103	4	2	-	2	14	16	3	13	-	1	-	1	-	-	21	…	21
