기간,자치구,동,계,소득(구별),인구비,소득(동별),,기간,자치구,지역내총생산(당해년가격)
2012,동대문구,회기동,"12,664",6301762,0.033709271,212427.8021,,,,
2012,동대문구,휘경1동,"17,724",6301762,0.047178073,297304.9877,,,,
2012,동대문구,휘경2동,"26,392",6301762,0.070250717,442703.2969,,,,
2012,동대문구,청량리동,"25,438",6301762,0.067711342,426700.7604,,,,
2012,동대문구,용신동,"33,602",6301762,0.089442429,563644.8994,,,,
2012,동대문구,제기동,"29,474",6301762,0.078454442,494401.2191,,,,
2012,동대문구,전농1동,"27,251",6301762,0.072537219,457112.2895,,,,
2012,동대문구,전농2동,"21,753",6301762,0.05790254,364888.0274,,,,
2012,동대문구,답십리1동,"20,582",6301762,0.054785551,345245.5008,,,,
2012,동대문구,답십리2동,"32,184",6301762,0.08566797,539859.1584,,,,
2012,동대문구,장안1동,"38,129",6301762,0.101492482,639581.4644,,,,
2012,동대문구,장안2동,"33,047",6301762,0.08796512,554335.2476,,,,
2012,동대문구,이문1동,"33,770",6301762,0.089889614,566462.9561,,,,
2012,동대문구,이문2동,"23,673",6301762,0.063013232,397094.3903,,,,
2012,중랑구,소계,"423,655",3592733,1,3592733,,,,
2012,중랑구,면목2동,"28,404",3592733,0.067045119,240875.2125,,,,
2012,중랑구,면목4동,"22,634",3592733,0.053425547,191943.7248,,,,
2012,중랑구,면목5동,"14,407",3592733,0.034006444,122176.0733,,,,
2012,중랑구,면목7동,"25,877",3592733,0.06108036,219445.4257,,,,
2012,중랑구,상봉1동,"25,826",3592733,0.060959979,219012.9291,,,,
2012,중랑구,상봉2동,"18,758",3592733,0.044276593,159073.9767,,,,
2012,중랑구,중화1동,"21,787",3592733,0.051426278,184760.8877,,,,
2012,중랑구,중화2동,"31,005",3592733,0.073184549,262932.5434,,,,
2012,중랑구,묵1동,"36,259",3592733,0.085586149,307488.1822,,,,
2012,중랑구,묵2동,"20,267",3592733,0.047838453,171870.7904,,,,
2012,중랑구,망우3동,"19,400",3592733,0.045791977,164518.3468,,,,
2012,중랑구,신내1동,"32,199",3592733,0.07600288,273058.054,,,,
