기간	자치구	동	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관
기간	자치구	동	합계	한국은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	지방은행	특수은행	특수은행	특수은행	특수은행	기타	기타
기간	자치구	동	합계	한국은행	우리은행	SC제일은행	KB국민은행	신한은행	한국씨티은행	KEB하나은행	지방은행	IBK기업은행	NH농협은행	수협은행	KDB산업은행	한국수출입은행	외국은행
2016	관악구	인헌동	5	-	1	-	1	1	-	1	-	1	-	-	-	-	-
2016	관악구	남현동	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-
2016	관악구	서원동	2	-	-	-	1	-	-	-	-	1	-	-	-	-	-
2016	관악구	신원동	1	-	-	-	-	1	-	-	-	-	-	-	-	-	-
2016	관악구	서림동	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-
2016	관악구	신사동	2	-	-	-	-	1	-	-	-	1	-	-	-	-	-
2016	관악구	신림동	2	-	1	-	-	-	-	1	-	-	-	-	-	-	-
2016	관악구	조원동	2	-	-	1	1	-	-	-	-	-	-	-	-	-	-
2016	관악구	대학동	6	-	2	-	1	2	-	-	-	-	1	-	-	-	-
2016	관악구	은천동	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-
2016	관악구	청룡동	7	-	2	-	1	1	-	1	-	1	-	1	-	-	-
2016	관악구	난곡동	1	-	-	-	-	1	-	-	-	-	-	-	-	-	-
2016	관악구	미성동	4	-	1	-	1	-	-	-	-	1	1	-	-	-	-
2016	서초구	소계	210	-	35	11	36	37	7	42	8	16	10	4	3	1	-
2016	서초구	서초1동	13	-	2	1	2	1	1	3	-	1	1	-	-	1	-
2016	서초구	서초2동	31	-	4	2	5	4	-	6	3	3	1	2	1	-	-
2016	서초구	서초3동	32	-	5	2	4	9	-	6	1	3	2	-	-	-	-
2016	서초구	서초4동	17	-	5	-	4	2	1	3	-	1	-	1	-	-	-
2016	서초구	잠원동	11	-	1	1	3	2	-	2	1	-	-	-	1	-	-
2016	서초구	반포본동	5	-	1	1	1	1	-	1	-	-	-	-	-	-	-
2016	서초구	반포1동	11	-	1	-	2	3	-	1	1	2	1	-	-	-	-
2016	서초구	반포2동	6	-	-	-	-	1	1	2	-	1	-	-	1	-	-
2016	서초구	반포3동	5	-	2	-	2	-	-	1	-	-	-	-	-	-	-
2016	서초구	반포4동	19	-	4	2	3	3	1	6	-	-	-	-	-	-	-
2016	서초구	방배본동	6	-	1	1	1	1	-	1	-	1	-	-	-	-	-
2016	서초구	방배1동	5	-	-	-	1	1	1	2	-	-	-	-	-	-	-
2016	서초구	방배2동	2	-	1	-	-	-	-	-	1	-	-	-	-	-	-
2016	서초구	방배3동	4	-	1	-	1	-	-	1	-	1	-	-	-	-	-
2016	서초구	방배4동	13	-	1	-	3	3	1	1	1	1	2	-	-	-	-
2016	서초구	양재1동	14	-	4	-	2	2	1	3	-	1	-	1	-	-	-
2016	서초구	양재2동	15	-	2	1	2	4	-	2	-	1	3	-	-	-	-
2016	서초구	내곡동	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-
2016	강남구	소계	331	1	57	16	55	49	19	61	10	24	26	7	5	-	1
2016	강남구	신사동	13	-	2	-	3	3	1	1	-	1	1	1	-	-	-
2016	강남구	논현1동	18	-	2	1	2	2	1	4	-	3	2	1	-	-	-
2016	강남구	논현2동	23	-	5	1	5	2	-	6	-	1	2	1	-	-	-
2016	강남구	삼성1동	29	-	4	1	4	4	-	10	1	2	2	-	1	-	-
2016	강남구	삼성2동	17	-	4	2	1	3	-	2	2	1	1	1	-	-	-
2016	강남구	대치1동	15	-	1	1	1	1	2	2	2	1	2	-	2	-	-
2016	강남구	대치4동	15	-	3	-	2	3	-	2	-	2	1	1	-	-	1
2016	강남구	역삼1동	54	-	7	4	13	9	3	7	1	3	5	2	-	-	-
2016	강남구	역삼2동	15	1	3	1	2	2	1	1	1	2	1	-	-	-	-
2016	강남구	도곡1동	11	-	3	-	1	2	1	1	-	1	2	-	-	-	-
2016	강남구	도곡2동	22	-	5	2	4	3	1	4	-	2	-	-	1	-	-
2016	강남구	개포1동	2	-	-	-	-	1	-	1	-	-	-	-	-	-	-
2016	강남구	개포4동	4	-	1	-	1	-	-	1	-	-	1	-	-	-	-
2016	강남구	일원본동	5	-	1	-	1	2	-	1	-	-	-	-	-	-	-
2016	강남구	일원1동	3	-	1	-	-	-	-	1	-	-	1	-	-	-	-
2016	강남구	일원2동	3	-	1	-	1	-	-	1	-	-	-	-	-	-	-
2016	강남구	수서동	4	-	1	-	1	-	-	1	-	1	-	-	-	-	-
2016	강남구	세곡동	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-
2016	강남구	압구정동	32	-	5	3	5	5	2	7	1	2	1	-	1	-	-
2016	강남구	청담동	21	-	4	-	3	2	3	4	1	2	2	-	-	-	-
2016	강남구	대치2동	21	-	3	-	4	4	4	4	1	-	1	-	-	-	-
2016	강남구	개포2동	3	-	1	-	1	1	-	-	-	-	-	-	-	-	-
2016	송파구	소계	149	-	29	9	26	23	3	30	2	8	12	6	1	-	-
2016	송파구	풍납1동	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-
2016	송파구	풍납2동	5	-	1	-	-	1	-	3	-	-	-	-	-	-	-
2016	송파구	거여2동	3	-	1	-	-	-	-	1	-	-	1	-	-	-	-
2016	송파구	마천1동	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-
2016	송파구	마천2동	2	-	-	-	1	1	-	-	-	-	-	-	-	-	-
2016	송파구	방이1동	2	-	1	1	-	-	-	-	-	-	-	-	-	-	-
2016	송파구	방이2동	6	-	2	-	1	1	-	1	-	1	-	-	-	-	-
2016	송파구	오륜동	6	-	1	-	1	1	-	2	-	-	-	1	-	-	-
2016	송파구	오금동	6	-	-	-	1	1	-	2	-	1	-	1	-	-	-
2016	송파구	송파1동	7	-	1	1	2	-	-	1	-	1	1	-	-	-	-
2016	송파구	송파2동	2	-	-	-	-	1	-	1	-	-	-	-	-	-	-
2016	송파구	석촌동	8	-	3	-	-	2	-	2	-	-	-	1	-	-	-
2016	송파구	삼전동	4	-	-	-	3	-	-	-	-	1	-	-	-	-	-
2016	송파구	가락본동	10	-	1	1	2	1	-	2	-	1	2	-	-	-	-
2016	송파구	가락1동	5	-	1	-	-	-	-	-	-	-	2	2	-	-	-
2016	송파구	가락2동	6	-	2	-	1	1	-	1	-	-	1	-	-	-	-
2016	송파구	문정1동	3	-	-	1	-	1	-	1	-	-	-	-	-	-	-
2016	송파구	문정2동	12	-	3	1	3	1	1	2	-	1	-	-	-	-	-
2016	송파구	장지동	3	-	-	-	1	-	-	1	-	-	1	-	-	-	-
2016	송파구	위례동	3	-	1	-	-	1	-	-	-	-	1	-	-	-	-
2016	송파구	잠실본동	9	-	2	1	2	1	-	2	-	-	1	-	-	-	-
2016	송파구	잠실4동	4	-	1	-	2	1	-	-	-	-	-	-	-	-	-
2016	송파구	잠실6동	18	-	4	1	1	4	1	4	-	-	1	1	1	-	-
2016	송파구	잠실7동	4	-	1	1	1	-	-	1	-	-	-	-	-	-	-
2016	송파구	잠실2동	8	-	1	-	1	-	1	1	2	1	1	-	-	-	-
2016	송파구	잠실3동	11	-	2	-	3	4	-	2	-	-	-	-	-	-	-
2016	강동구	소계	68	-	13	4	13	9	2	12	2	7	4	2	-	-	-
2016	강동구	강일동	5	-	-	-	1	1	-	1	-	2	-	-	-	-	-
2016	강동구	상일동	2	-	1	-	-	-	-	1	-	-	-	-	-	-	-
2016	강동구	명일1동	7	-	1	1	1	2	-	2	-	-	-	-	-	-	-
2016	강동구	명일2동	7	-	1	1	1	1	1	1	-	-	1	-	-	-	-
2016	강동구	암사2동	3	-	1	-	1	1	-	-	-	-	-	-	-	-	-
2016	강동구	암사3동	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-
2016	강동구	천호1동	1	-	-	-	1	-	-	-	-	-	-	-	-	-	-
2016	강동구	천호3동	3	-	-	-	-	1	-	1	-	1	-	-	-	-	-
2016	강동구	성내1동	6	-	1	-	1	-	1	1	-	1	1	-	-	-	-
2016	강동구	성내2동	4	-	1	1	1	-	-	-	1	-	-	-	-	-	-
2016	강동구	성내3동	5	-	1	-	1	1	-	1	-	1	-	-	-	-	-
2016	강동구	둔촌1동	2	-	-	-	1	-	-	1	-	-	-	-	-	-	-
2016	강동구	둔촌2동	6	-	2	1	2	-	-	1	-	-	-	-	-	-	-
2016	강동구	암사1동	3	-	-	-	-	-	-	1	-	1	-	1	-	-	-
2016	강동구	천호2동	4	-	-	-	1	1	-	1	-	-	1	-	-	-	-
2016	강동구	길동	9	-	3	-	1	1	-	-	1	1	1	1	-	-	-
