기간,컬럼1,컬럼2,계,남자,여자,계,남자,여자
2008,강서구,화곡8동,"27,598","13,596","14,002","2,021",923,"1,098"
2008,강서구,가양1동,"22,295","11,326","10,969","1,469",599,870
2008,강서구,가양2동,"19,040","9,226","9,814","2,269",772,"1,497"
2008,강서구,가양3동,"20,058","9,681","10,377","2,179",790,"1,389"
2008,강서구,발산1동,"32,143","15,619","16,524","2,155",835,"1,320"
2008,강서구,공항동,"22,604","11,666","10,938","1,973",842,"1,131"
2008,강서구,방화1동,"31,993","16,134","15,859","2,449","1,046","1,403"
2008,강서구,방화2동,"26,860","13,320","13,540","2,743","1,105","1,638"
2008,강서구,방화3동,"28,601","13,874","14,727","2,769","1,041","1,728"
2008,강서구,화곡1동,"51,983","25,741","26,242","3,859","1,721","2,138"
2008,강서구,우장산동,"45,651","22,311","23,340","2,733","1,132","1,601"
2008,구로구,소계,"448,696","226,732","221,964","34,322","15,117","19,205"
2008,구로구,신도림동,"37,004","18,396","18,608","2,376","1,028","1,348"
2008,구로구,구로1동,"28,113","14,107","14,006","1,278",475,803
2008,구로구,구로3동,"27,478","13,928","13,550","1,808",816,992
2008,구로구,구로4동,"30,807","15,361","15,446","2,590","1,092","1,498"
2008,구로구,구로5동,"34,617","17,477","17,140","2,478","1,128","1,350"
2008,구로구,고척1동,"27,028","13,692","13,336","2,192",934,"1,258"
2008,구로구,고척2동,"28,644","14,612","14,032","2,363","1,075","1,288"
2008,구로구,개봉2동,"36,451","18,097","18,354","2,814","1,306","1,508"
2008,구로구,개봉3동,"22,944","11,420","11,524","1,743",774,969
2008,구로구,오류1동,"21,690","10,909","10,781","1,931",856,"1,075"
2008,구로구,오류2동,"30,236","15,427","14,809","2,652","1,200","1,452"
2008,구로구,수궁동,"22,363","11,308","11,055","1,952",850,"1,102"
2008,구로구,가리봉동,"23,248","12,422","10,826","1,592",682,910
2008,구로구,구로2동,"39,337","20,059","19,278","3,436","1,523","1,913"
2008,구로구,개봉1동,"38,736","19,517","19,219","3,117","1,378","1,739"
2008,금천구,소계,"265,244","135,337","129,907","20,977","9,090","11,887"
2008,금천구,가산동,"24,428","13,438","10,990","1,535",704,831
2008,금천구,독산1동,"36,360","18,671","17,689","2,871","1,264","1,607"
2008,금천구,독산2동,"24,955","12,669","12,286","1,767",794,973
2008,금천구,독산3동,"32,516","16,397","16,119","2,371","1,052","1,319"
2008,금천구,독산4동,"20,761","10,569","10,192","1,393",621,772
2008,금천구,시흥1동,"34,516","17,502","17,014","2,996","1,289","1,707"
