읍면동명,자치구,새누리당,더불어민주당
응암3동,은평구,4569.919066063975,3286.3
증산동,은평구,2786.312415369863,2643.6
수색동,은평구,1962.3248160386972,2283.7
신사1동,은평구,4012.438181280339,2588.6
신사2동,은평구,3778.4213122104984,2417.7
역촌동,은평구,4445.32929477622,4383.7
갈현2동,은평구,4119.687017403806,2344.7
구산동,은평구,3347.853684340026,1767.9
갈현1동,은평구,3929.973988408282,2389.8
진관동,은평구,4061.0197816541454,3089.6
불광1동,은평구,4742.306351533339,3001.1
불광2동,은평구,4456.366928420828,2637.0
대조동,은평구,4303.602234151046,4369.8
청운효자동,종로구,2000.6585688170414,2381.5
사직동,종로구,983.5436644582319,796.1
삼청동,종로구,1141.2849723528655,482.6
부암동,종로구,1268.946313473635,1266.5
평창동,종로구,1802.7816647221707,2402.5
무악동,종로구,1268.946313473635,1279.8
교남동,종로구,894.9704291720111,1279.8
가회동,종로구,1141.2849723528655,549.3
종로1.2.3.4가동,종로구,1436.9919256334754,941.3
종로5·6가동,종로구,1133.4482634126591,1042.5
이화동,종로구,1422.1506958890543,1208.5
혜화동,종로구,2097.137968381831,2268.2
창신1동,종로구,1636.5911921516747,1168.5
창신2동,종로구,1848.7939004675761,2502.7
창신3동,종로구,819.2968390548618,1279.8
숭인1동,종로구,1258.243670138338,907.4
숭인2동,종로구,1823.322849010386,1881.3
응봉동,중구,2950.953161848311,2633.6
성수1가1동,중구,2950.953161848311,2633.6
성수1가2동,중구,2950.953161848311,2633.6
성수2가1동,중구,2950.953161848311,2633.6
성수2가3동,중구,2950.953161848311,2633.6
왕십리도선동,중구,2950.953161848311,2633.6
왕십리2동,중구,2950.953161848311,2633.6
행당1동,중구,2950.953161848311,2633.6
행당2동,중구,2950.953161848311,2633.6
마장동,중구,2950.953161848311,2633.6
사근동,중구,2950.953161848311,2633.6
송정동,중구,2950.953161848311,2633.6
용답동,중구,2950.953161848311,2633.6
소공동,중구,362.50281499468844,209.6
회현동,중구,1261.1096045334286,812.6
명동,중구,1133.4482634126591,386.5
필동,중구,983.5436644582319,637.1
장충동,중구,1141.2849723528655,637.1
광희동,중구,1133.4482634126591,398.5
을지로동,중구,809.6800822892744,293.0
신당동,중구,1436.9919256334754,812.6
다산동,중구,2681.6245008948067,2661.7
약수동,중구,3253.030210002739,2697.0
청구동,중구,2687.963269795913,2980.1
신당5동,중구,1682.1709277661441,2162.5
동화동,중구,1726.8434494455955,1922.0
황학동,중구,2097.137968381831,2433.4
중림동,중구,2000.6585688170414,2381.5
금호1가동,중구,2950.953161848311,2633.6
금호2.3가동,중구,2950.953161848311,2633.6
금호4가동,중구,2950.953161848311,2633.6
옥수동,중구,2950.953161848311,2633.6
면목본동,중랑구,4815.594926551717,4275.4
면목2동,중랑구,4479.9464584197585,4036.8
면목3.8동,중랑구,4443.606024983584,4036.8
면목4동,중랑구,4292.379766637955,2746.3
면목5동,중랑구,1802.7816647221707,2502.7
면목7동,중랑구,3987.2047444788004,2948.1
상봉2동,중랑구,2798.1548678289423,2348.0
망우3동,중랑구,3635.9305503538853,2832.7
상봉1동,중랑구,4347.304625054894,3032.3
중화1동,중랑구,3195.7433732104587,2697.0
중화2동,중랑구,4742.306351533339,4605.6
묵1동,중랑구,4391.228479074933,2630.7
묵2동,중랑구,3387.843362345874,2414.4
망우본동,중랑구,4201.041630284191,4275.4
신내1동,중랑구,4236.254560933953,3479.8
신내2동,중랑구,4088.694006067868,3032.3
