읍면동명,자치구,소득(동별),인구밀도,사업체수,장애등급,독거노인수,노령화지수
잠실4동,송파구,719251.9157769991,19288,495,597,469,63.4
잠실6동,송파구,563351.3060768218,6258,2620,357,251,104.8
거여1동,송파구,426741.3471953918,26155,839,610,389,157.8
거여2동,송파구,548079.5408453132,32640,905,941,607,153.3
마천1동,송파구,669803.5475116097,36800,960,1228,986,173.2
마천2동,송파구,653149.285638091,23240,1352,1216,708,201.4
오금동,송파구,1316876.2781417954,24857,2378,1415,888,117.5
가락본동,송파구,897336.7739187359,25091,3587,746,569,115.5
가락2동,송파구,1090404.0375297002,35891,1869,926,425,74.6
문정1동,송파구,687390.1908413678,38805,1370,598,317,117.6
장지동,송파구,1096769.9522998868,25469,1388,1489,740,89.3
위례동,송파구,909586.3371886407,11308,533,752,249,26.4
석촌동,송파구,1102074.8812750424,36589,2570,1058,884,129.6
삼전동,송파구,1055295.05303958,35200,2080,969,878,115.0
가락1동,송파구,874734.5613761038,832,2800,14,11,91.5
문정2동,송파구,965754.2821558936,13700,5153,525,298,133.2
잠실본동,송파구,954244.1938340412,31655,3037,842,618,134.9
잠실2동,송파구,1184863.9243721669,17004,757,564,379,38.4
잠실3동,송파구,1162100.956406045,24528,1589,712,561,86.2
잠실7동,송파구,329355.711645415,17282,202,200,196,163.0
목1동,양천구,416833.9076996364,23020,2943,668,388,47.1
목2동,양천구,408915.4783857944,30829,1145,1043,647,108.4
목3동,양천구,300445.97781782213,43832,1233,866,585,131.2
목4동,양천구,351175.84955305856,47875,1352,875,583,89.6
목5동,양천구,557444.4426628097,23972,1537,743,453,49.0
신정1동,양천구,280104.70120341174,30967,1148,577,382,67.4
신정2동,양천구,268876.1088157507,40360,1110,728,454,82.7
신정6동,양천구,328303.27176455123,26563,758,470,243,58.2
신정7동,양천구,401503.309306772,24953,1024,1390,1517,120.6
신월1동,양천구,285271.151804902,34429,1853,1215,881,184.5
신월2동,양천구,291125.5970844802,37464,1223,1039,861,128.0
신월3동,양천구,218652.49731533352,19754,955,948,756,164.7
신월4동,양천구,247470.38760505329,37183,1174,906,458,103.4
신월5동,양천구,202906.5059092839,22839,1013,736,432,115.3
신월6동,양천구,86583.48118577978,16622,1387,254,205,134.7
신월7동,양천구,283025.4333273698,18779,1384,1165,906,177.4
신정3동,양천구,629151.6615638963,17941,1795,2111,1170,87.4
신정4동,양천구,464513.2369942944,35835,3043,1616,1110,161.6
영등포본동,영등포구,1719939.30431477,24980,1482,1058,1026,145.9
영등포동,영등포구,1868607.4742023163,20723,6320,1068,1278,195.0
당산1동,영등포구,1480418.3639403891,28481,3153,805,753,167.1
당산2동,영등포구,2494183.8612893126,23349,2245,929,688,104.8
도림동,영등포구,1498933.057319903,24919,1052,908,822,165.4
문래동,영등포구,2199807.1193406843,21648,5288,923,833,84.4
양평1동,영등포구,1256177.2076933398,20408,3114,734,549,123.1
양평2동,영등포구,1575194.3222437003,7654,2102,636,448,86.1
신길3동,영등포구,1287287.3987994376,33775,1555,797,711,156.1
여의동,영등포구,2379791.9639036166,4044,8082,768,991,123.9
신길1동,영등포구,1357973.6073524514,29842,1157,816,1024,238.5
신길4동,영등포구,693922.4485214099,29786,484,533,517,228.0
신길5동,영등포구,747332.8651106395,24785,604,554,546,192.7
신길6동,영등포구,1348544.1910216212,29119,1282,782,695,163.3
신길7동,영등포구,1176405.7220916422,26900,594,492,340,81.9
대림1동,영등포구,1135590.8032289965,34755,1094,760,690,205.2
대림2동,영등포구,1493908.6238005557,40420,1415,709,694,172.0
대림3동,영등포구,1987679.6658252128,31073,2140,1132,796,149.3
후암동,용산구,780401.8045953085,21748,859,807,775,160.9
