읍면동명,자치구,새누리당,더불어민주당,소득(동별),인구밀도,사업체수,장애등급,독거노인수,노령화지수
월계3동,노원구,3959.5204504947606,2538.9,312803.6290603136,27774.0,963.0,1958.0,1233.0,135.6
공릉1동,노원구,4161.891345327284,2716.7,384886.51148419216,28362.0,2849.0,2234.0,1346.0,143.3
공릉2동,노원구,4626.086523546347,2875.2,403789.6395191809,6091.0,1834.0,1353.0,863.0,81.9
상계1동,노원구,3663.279921331407,2851.0,395700.9047531719,7297.0,3114.0,1874.0,1201.0,142.7
상계2동,노원구,3575.8541164900084,2423.1,209405.08743324282,35449.0,2614.0,906.0,688.0,153.4
상계3.4동,노원구,4512.534385903199,1916.0,254388.2572592432,5272.0,1278.0,1587.0,1697.0,236.3
상계5동,노원구,4428.811511576537,2480.8,252015.5617278805,25970.0,1605.0,1312.0,1219.0,201.0
상계8동,노원구,2804.1461200738895,2294.4,236151.8370595133,36458.0,595.0,708.0,506.0,61.2
상계9동,노원구,2804.1461200738895,2330.3,215719.20281422453,27590.0,713.0,753.0,683.0,106.9
상계10동,노원구,1975.907819990014,2492.8,164088.56368961278,21276.0,455.0,516.0,411.0,109.8
하계1동,노원구,3719.562291931712,2538.9,292312.16765309015,19291.0,1103.0,2117.0,1149.0,140.1
하계2동,노원구,3555.494016222728,2826.0,230327.94802798665,46769.0,395.0,998.0,602.0,90.9
중계본동,노원구,3302.858898584004,2130.7,256496.23056190016,13636.0,1198.0,881.0,640.0,65.5
중계1동,노원구,2842.4798728522346,1445.7,276017.0437972025,45002.0,1000.0,778.0,474.0,44.1
중계2.3동,노원구,4204.81228985787,1722.5,363826.3875116009,41984.0,1361.0,3240.0,1965.0,158.4
중계4동,노원구,4557.20690758265,1967.1,210601.2397259132,12848.0,1049.0,1554.0,935.0,149.7
상계6.7동,노원구,4536.11391590213,4336.6,341530.8931383827,31964.0,1958.0,1273.0,1045.0,92.5
쌍문1동,도봉구,4030.813967570106,3030.7,187971.40745392395,18087.0,890.0,1096.0,796.0,184.9
쌍문3동,도봉구,2842.4798728522346,1343.7,144558.08922848155,34812.0,971.0,814.0,615.0,215.5
창1동,도봉구,4043.372201961173,2971.9,220596.0613577256,30369.0,1413.0,1046.0,828.0,131.6
창2동,도봉구,4428.811511576537,2444.4,256349.67823184052,29300.0,1356.0,1314.0,822.0,134.0
창3동,도봉구,2842.4798728522346,1445.7,124516.03841596712,22612.0,929.0,793.0,642.0,179.9
창4동,도봉구,4043.372201961173,2767.2,233912.9277593796,29650.0,1277.0,1000.0,725.0,107.8
창5동,도봉구,4150.674606286767,3698.4,215823.3498403408,37184.0,2133.0,1002.0,649.0,140.1
쌍문2동,도봉구,3602.881727813346,2532.3,167987.76395018867,38111.0,1242.0,947.0,781.0,180.7
쌍문4동,도봉구,2784.9345455679395,2294.4,166427.45441565904,38658.0,616.0,704.0,431.0,109.6
방학1동,도봉구,4699.375098564726,3157.2,253187.3396565105,44294.0,2266.0,1449.0,1065.0,174.8
방학2동,도봉구,4285.2222420168955,2622.2,177458.09187367075,29254.0,1207.0,1234.0,1009.0,207.2
방학3동,도봉구,4095.723206607683,2963.1,240688.1755777649,11112.0,872.0,1010.0,655.0,112.6
도봉1동,도봉구,4798.473809015711,2732.2,187162.04903226948,2619.0,1714.0,1477.0,1202.0,304.4
도봉2동,도봉구,4619.7832220266655,2176.2,240212.5732062773,34973.0,1465.0,1487.0,1108.0,205.2
용신동,동대문구,4191.53812087526,2134.5,633040.307400922,19852.0,5640.0,1442.0,1735.0,231.4
제기동,동대문구,4589.698249449952,2472.8,545346.6683343459,23369.0,4750.0,1329.0,1747.0,279.8
청량리동,동대문구,4626.086523546347,3052.1,434915.44830790133,18773.0,1679.0,1374.0,1603.0,304.3
회기동,동대문구,1339.1618764477355,1558.7,263238.8170675053,16932.0,997.0,313.0,416.0,165.4
휘경1동,동대문구,2056.8260262994113,2494.3,326398.76417825103,23259.0,977.0,601.0,570.0,247.9
휘경2동,동대문구,3302.858898584004,2130.7,496910.8838937928,23950.0,1210.0,901.0,748.0,140.4
이문1동,동대문구,4043.372201961173,3239.4,446501.35110602865,25904.0,1477.0,1059.0,1239.0,214.4
이문2동,동대문구,4049.7109708622784,2963.1,419875.48590215493,31890.0,705.0,1030.0,773.0,139.8
전농1동,동대문구,4871.762384034089,3464.6,613756.7860486724,26040.0,2199.0,1526.0,1774.0,173.1
전농2동,동대문구,3347.531420263455,2183.8,401480.1513061503,23664.0,894.0,891.0,673.0,142.5
답십리1동,동대문구,4150.674606286767,3903.1,590920.5176714434,36410.0,1961.0,1045.0,887.0,94.3
답십리2동,동대문구,4626.086523546347,3464.6,600789.2594074975,34082.0,2186.0,1408.0,1134.0,170.6
장안1동,동대문구,4363.925406344623,2851.0,776689.7121109245,31370.0,4572.0,1653.0,1132.0,133.1
장안2동,동대문구,4452.786979857861,3279.9,630217.8472644106,29036.0,3164.0,1266.0,924.0,101.2
노량진1동,동작구,4536.11391590213,4336.6,411804.1804515125,20761.0,2148.0,1263.0,1027.0,158.6
노량진2동,동작구,2737.791958377179,2061.5,176251.1282403584,22355.0,1634.0,666.0,733.0,326.2
상도2동,동작구,3727.286365367276,2473.5,371296.9876561256,28334.0,1344.0,951.0,732.0,122.8
상도3동,동작구,4030.813967570106,2622.2,329804.5871781567,43635.0,1017.0,1138.0,830.0,168.9
상도4동,동작구,4366.2351971325215,2101.2,380277.53460889135,40352.0,934.0,1306.0,1192.0,149.7
대방동,동작구,4798.473809015711,3045.2,508316.6407413633,26039.0,1734.0,1605.0,1236.0,108.2
신대방1동,동작구,2757.842925746523,1290.6,337837.8190515168,43894.0,1052.0,820.0,625.0,101.9
신대방2동,동작구,2797.8073511727835,1277.9,261787.36447682872,20462.0,1238.0,720.0,503.0,105.6
상도1동,동작구,4798.473809015711,2732.2,610980.3336134885,31998.0,1697.0,1556.0,1245.0,121.9
흑석동,동작구,3986.1414458906547,3120.5,448168.44863296533,19780.0,1514.0,1098.0,1059.0,159.6
사당1동,동작구,2938.9592724170247,1245.7,304896.51602364995,30461.0,1856.0,797.0,385.0,231.4
사당2동,동작구,3415.079965629014,2194.6,359613.43501012214,10452.0,1667.0,893.0,751.0,164.1
사당3동,동작구,2842.4798728522346,1343.7,331888.68035284925,29089.0,959.0,815.0,567.0,128.5
사당4동,동작구,1858.9491222045415,2770.9,188225.1908440462,39713.0,664.0,560.0,491.0,191.5
사당5동,동작구,1975.907819990014,2520.7,163658.15311812554,23170.0,508.0,503.0,364.0,134.6
공덕동,마포구,4532.156977102782,2134.5,1722207.5102734664,40105.0,2781.0,1500.0,1434.0,157.0
아현동,마포구,2604.7049483690116,1541.6,1076978.8166725016,33572.0,1630.0,684.0,498.0,81.5
도화동,마포구,2938.9592724170247,1057.6,961268.5960477692,36847.0,2047.0,770.0,695.0,138.8
용강동,마포구,2285.1487225259652,1927.7,950240.4958415995,26961.0,2550.0,622.0,569.0,76.3
대흥동,마포구,1738.3383852485151,1819.2,584319.6478468899,15524.0,1547.0,431.0,528.0,239.0
염리동,마포구,1585.1340028330953,2270.0,574012.6157311238,30379.0,699.0,455.0,445.0,118.6
신수동,마포구,2334.6475150223105,1797.8,954948.6463142334,27956.0,1230.0,683.0,546.0,118.6
서강동,마포구,2475.7994362665518,2061.5,1112989.8054226476,17670.0,1779.0,681.0,543.0,103.5
서교동,마포구,3054.313804455949,1909.1,1107221.2606994202,15918.0,9686.0,685.0,617.0,195.7
합정동,마포구,2153.3054258642023,2081.2,813322.3902050025,11358.0,2044.0,611.0,558.0,135.3
망원1동,마포구,3191.1822926172686,1874.8,932934.861671918,19580.0,1802.0,854.0,733.0,164.9
망원2동,마포구,2797.8073511727835,1166.9,817351.8883572569,29315.0,1360.0,775.0,532.0,124.2
연남동,마포구,2012.1535046199606,2092.0,723231.2946746022,27177.0,1611.0,541.0,466.0,198.9
성산1동,마포구,2797.8073511727835,1131.0,860531.142241413,25554.0,1488.0,712.0,521.0,145.1
성산2동,마포구,4281.9042521596375,3668.1,1765471.59569767,20166.0,1747.0,2027.0,1353.0,115.2
상암동,마포구,4166.732425234627,3780.7,1398702.4323024857,3994.0,2324.0,1188.0,413.0,61.9
충현동,서대문구,2938.9592724170247,1021.7,419462.37561904296,16331.0,1825.0,725.0,783.0,217.7
천연동,서대문구,2842.4798728522346,1445.7,432362.18883701705,19633.0,941.0,776.0,894.0,138.0
북아현동,서대문구,2018.4922735210675,2891.1,404860.98276090826,38765.0,864.0,626.0,538.0,110.0
신촌동,서대문구,2039.5902862544133,1958.1,570489.0658430246,9094.0,3720.0,482.0,548.0,151.8
연희동,서대문구,4699.375098564726,3259.7,950999.0642940672,13263.0,2318.0,1377.0,1314.0,183.0
홍제1동,서대문구,3350.4241703272783,1813.9,575892.7309165075,18799.0,1163.0,865.0,853.0,167.9
홍제2동,서대문구,2744.130727278285,3197.6,336383.89940417605,14223.0,594.0,648.0,535.0,168.7
홍제3동,서대문구,2713.170404067072,1290.6,380188.07797858,20514.0,1201.0,825.0,741.0,237.2
홍은1동,서대문구,4030.813967570106,3030.7,523304.7223077611,15273.0,964.0,1099.0,939.0,184.8
홍은2동,서대문구,4321.56267545307,2101.2,653084.6613491973,14080.0,1176.0,1298.0,926.0,171.9
남가좌1동,서대문구,1858.9491222045415,2441.7,391570.2661120865,33724.0,797.0,537.0,353.0,66.0
남가좌2동,서대문구,4043.372201961173,3030.7,591620.8454282619,32453.0,1243.0,1060.0,870.0,153.0
북가좌1동,서대문구,2804.1461200738895,2294.4,441215.0018297442,37137.0,665.0,709.0,416.0,100.9
북가좌2동,서대문구,4871.762384034089,2464.7,780772.1173196251,40758.0,2381.0,1583.0,1270.0,178.5
잠원동,서초구,2153.3054258642023,2081.2,2368457.4332258105,19865.0,2137.0,609.0,708.0,74.3
반포본동,서초구,1141.2849723528645,1107.5,820317.1598040701,12458.0,682.0,200.0,258.0,110.4
반포1동,서초구,2012.1535046199606,2383.5,2245538.605546595,32109.0,1508.0,532.0,575.0,62.1
반포2동,서초구,1258.2436701383372,1643.2,1109996.315442795,12416.0,455.0,254.0,331.0,48.2
반포3동,서초구,1466.823217568505,1563.4,1377178.7506903952,15964.0,969.0,326.0,392.0,70.8
반포4동,서초구,1825.5528235131546,1384.6,1373519.6455665377,14406.0,3586.0,364.0,374.0,81.9
방배본동,서초구,2012.1535046199606,2274.2,1454900.8539693698,32457.0,1583.0,469.0,423.0,91.8
방배1동,서초구,1879.4903064927573,2111.6,1189819.016107688,25261.0,1805.0,464.0,402.0,141.0
방배4동,서초구,2226.5940008825805,1927.7,1645106.5592039663,24941.0,2396.0,616.0,547.0,100.7
서초1동,서초구,2099.3679428846003,1958.1,1470960.2597907446,15193.0,3612.0,472.0,429.0,102.9
서초2동,서초구,1428.642454980797,1443.4,1265440.5220007442,14924.0,4356.0,298.0,400.0,85.9
서초3동,서초구,3015.7148138858993,1909.1,2105137.3867200604,10496.0,7525.0,699.0,633.0,144.7
서초4동,서초구,2011.3336031545202,1980.1,2160633.8144319,36156.0,2869.0,453.0,435.0,68.6
