읍면동명,자치구,새누리당,더불어민주당,국민의당,독거노인수,노령화지수,사업체수,장애등급,인구밀도,소득(동별)
쌍문2동,도봉구,3970.0,3456,1914.0,755.0,144.4,1308,929.0,39081,167987.76395018867
쌍문4동,도봉구,4084.0,3738,1852.0,399.0,91.2,616,668.0,39929,166427.45441565904
방학1동,도봉구,6268.0,4807,2887.0,986.0,142.3,2330,1439.0,45465,253187.3396565105
방학2동,도봉구,4203.0,3137,1983.0,934.0,163.9,1244,1183.0,30258,177458.09187367075
방학3동,도봉구,6252.0,5934,2604.0,646.0,93.9,871,1014.0,11533,240688.1755777649
도봉1동,도봉구,5195.0,3432,2111.0,1135.0,250.1,1701,1476.0,2710,187162.04903226948
도봉2동,도봉구,6524.0,5352,3000.0,953.0,160.5,1439,1406.0,35210,240212.5732062773
용신동,동대문구,5377.0,5919,2511.0,1488.0,196.6,5820,1479.0,20798,633040.307400922
제기동,동대문구,5013.0,4848,2099.0,1442.0,216.5,4739,1314.0,24196,545346.6683343459
청량리동,동대문구,5319.0,4173,1554.0,1363.0,249.9,1683,1384.0,19633,434915.44830790133
회기동,동대문구,1937.0,2951,765.0,322.0,141.7,988,315.0,16562,263238.8170675053
휘경1동,동대문구,2474.0,2657,997.0,476.0,206.2,1027,616.0,23752,326398.76417825103
휘경2동,동대문구,4428.0,5494,1752.0,643.0,111.7,1197,860.0,24254,496910.8838937928
이문1동,동대문구,5175.0,5470,2114.0,1001.0,182.4,1486,1287.0,30813,446501.35110602865
이문2동,동대문구,3900.0,4665,1714.0,655.0,113.9,729,1031.0,32887,419875.48590215493
전농1동,동대문구,5411.0,7709,0.0,1420.0,156.3,2178,1576.0,25437,613756.7860486724
전농2동,동대문구,3799.0,5950,0.0,527.0,114.2,875,875.0,24178,401480.1513061503
답십리1동,동대문구,4494.0,7017,0.0,648.0,103.5,2242,958.0,31451,590920.5176714434
답십리2동,동대문구,5424.0,7918,0.0,924.0,136.1,2055,1439.0,35636,600789.2594074975
장안1동,동대문구,6428.0,9628,0.0,913.0,110.1,4539,1552.0,31050,776689.7121109245
장안2동,동대문구,5564.0,8279,0.0,748.0,89.7,3204,1223.0,28845,630217.8472644106
노량진1동,동작구,5857.0,5866,3861.0,941.0,136.9,2148,1228.0,21139,411804.1804515125
노량진2동,동작구,2729.0,2533,1778.0,671.0,259.0,1554,646.0,23358,176251.1282403584
상도2동,동작구,4361.0,4363,2958.0,951.0,107.2,1287,931.0,28385,371296.9876561256
상도3동,동작구,4046.0,4592,3273.0,727.0,141.2,946,1132.0,43402,329804.5871781567
상도4동,동작구,4242.0,4814,3152.0,1032.0,126.2,983,1290.0,40668,380277.53460889135
대방동,동작구,6326.0,6522,4716.0,990.0,89.9,1660,1592.0,26230,508316.6407413633
신대방1동,동작구,4439.0,4095,2974.0,604.0,85.9,1060,801.0,45063,337837.8190515168
신대방2동,동작구,3614.0,3590,2520.0,500.0,88.3,1219,744.0,20836,261787.36447682872
상도1동,동작구,10017.0,7738,5599.0,1339.0,104.1,1704,1551.0,31950,610980.3336134885
흑석동,동작구,7824.0,4873,3523.0,1129.0,151.8,1495,1227.0,20902,448168.44863296533
사당1동,동작구,4459.0,3922,3297.0,622.0,179.4,1845,789.0,30330,304896.51602364995
사당2동,동작구,7181.0,4723,3710.0,844.0,135.8,1651,906.0,10947,359613.43501012214
사당3동,동작구,5813.0,3455,3104.0,585.0,124.7,1005,773.0,26766,331888.68035284925
